country,route,stage,param,multiplier,demand,total_CO2e_kg
BRA,BF-BOF,Finished,elec_ef,0.75,1000.0,3167.9961842050507
BRA,BF-BOF,Finished,elec_ef,1.0,1000.0,3183.5038960637753
BRA,BF-BOF,Finished,elec_ef,1.25,1000.0,3199.011607922499
CHN,BF-BOF,Finished,elec_ef,0.75,1000.0,3373.69108011142
CHN,BF-BOF,Finished,elec_ef,1.0,1000.0,3457.7637572722665
CHN,BF-BOF,Finished,elec_ef,1.25,1000.0,3541.836434433114
DEU,BF-BOF,Finished,elec_ef,0.75,1000.0,3276.588030481906
DEU,BF-BOF,Finished,elec_ef,1.0,1000.0,3328.293024432916
DEU,BF-BOF,Finished,elec_ef,1.25,1000.0,3379.998018383925
IND,BF-BOF,Finished,elec_ef,0.75,1000.0,3440.757741895975
IND,BF-BOF,Finished,elec_ef,1.0,1000.0,3547.185972985007
IND,BF-BOF,Finished,elec_ef,1.25,1000.0,3653.614204074039
IRN,BF-BOF,Finished,elec_ef,0.75,1000.0,3410.851170962286
IRN,BF-BOF,Finished,elec_ef,1.0,1000.0,3507.3105450734224
IRN,BF-BOF,Finished,elec_ef,1.25,1000.0,3603.769919184558
JPN,BF-BOF,Finished,elec_ef,0.75,1000.0,3338.883920777311
JPN,BF-BOF,Finished,elec_ef,1.0,1000.0,3411.3542114934553
JPN,BF-BOF,Finished,elec_ef,1.25,1000.0,3483.8245022095994
KOR,BF-BOF,Finished,elec_ef,0.75,1000.0,3308.214675489915
KOR,BF-BOF,Finished,elec_ef,1.0,1000.0,3370.4618844435936
KOR,BF-BOF,Finished,elec_ef,1.25,1000.0,3432.709093397272
RUS,BF-BOF,Finished,elec_ef,0.75,1000.0,3323.9549759813294
RUS,BF-BOF,Finished,elec_ef,1.0,1000.0,3391.4489517654797
RUS,BF-BOF,Finished,elec_ef,1.25,1000.0,3458.94292754963
TUR,BF-BOF,Finished,elec_ef,0.75,1000.0,3289.5048131532126
TUR,BF-BOF,Finished,elec_ef,1.0,1000.0,3345.5154013279894
TUR,BF-BOF,Finished,elec_ef,1.25,1000.0,3401.5259895027675
USA,BF-BOF,Finished,elec_ef,0.75,1000.0,3294.3567202119057
