route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,BRA,energy_int,Blast Furnace,3183.5038960637753,13.0,0.05,125.27254908978169,125.27254908978169,0.7870104964826599,energy_int :: Blast Furnace,
BF-BOF,BRA,e_efs,Coke,3183.5038960637753,135.8112848,0.05,118.22462848756548,118.22462848756548,0.7427327394431251,e_efs :: Coke,
BF-BOF,BRA,params,params.process_gas,3183.5038960637753,0.275,0.05,70.12019465390176,70.12019465390176,0.4405221224362343,params :: params.process_gas,
BF-BOF,BRA,e_efs,Coal,3183.5038960637753,111.9508768,0.05,28.51747032866183,28.51747032866183,0.1791577535929646,e_efs :: Coal,
BF-BOF,BRA,energy_int,Sintering,3183.5038960637753,2.0,0.05,14.307172656203875,14.307172656203875,0.08988317981262027,energy_int :: Sintering,
BF-BOF,BRA,e_efs,Gas,3183.5038960637753,72.72788705,0.05,9.084986685301146,9.084986685301146,0.05707539228416981,e_efs :: Gas,
BF-BOF,BRA,energy_int,Hot Rolling,3183.5038960637753,2.5,0.05,8.002789654754906,8.002789654754906,0.05027661291478178,energy_int :: Hot Rolling,
BF-BOF,BRA,e_efs,Electricity,3183.5038960637753,38.5,0.05,4.16495923655998,4.16495923655998,0.026165881195934576,e_efs :: Electricity,
BF-BOF,BRA,energy_int,Nitrogen Production,3183.5038960637753,4.940640469,0.05,1.3525518815727082,1.3525518815727082,0.008497252874388269,energy_int :: Nitrogen Production,
BF-BOF,BRA,energy_int,Burnt Lime Production,3183.5038960637753,6.609049917,0.05,1.1067024797725935,1.1067024797725935,0.006952732058163769,energy_int :: Burnt Lime Production,
BF-BOF,BRA,energy_int,Oxygen Production,3183.5038960637753,4.5,0.05,1.0605578916138256,1.0605578916138256,0.0066628339479976526,energy_int :: Oxygen Production,
BF-BOF,BRA,energy_int,Pelletizing,3183.5038960637753,1.1,0.05,0.6043181276895666,0.6043181276895666,0.0037965596865565153,energy_int :: Pelletizing,
BF-BOF,BRA,energy_int,Basic Oxygen Furnace,3183.5038960637753,0.35,0.05,0.5110004808104804,0.5110004808104804,0.0032103022172663524,energy_int :: Basic Oxygen Furnace,
BF-BOF,BRA,energy_int,Dolomite Production,3183.5038960637753,6.609049917,0.05,0.11872716965103791,0.11872716965103791,0.0007458898969643947,energy_int :: Dolomite Production,
BF-BOF,BRA,p_efs,Basic Oxygen Furnace,3183.5038960637753,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0007034858587010401,p_efs :: Basic Oxygen Furnace,
BF-BOF,BRA,energy_int,Coke Production,3183.5038960637753,6.54,0.05,-0.1058690850934454,0.1058690850934454,-0.0006651104477952523,energy_int :: Coke Production,
BF-BOF,BRA,p_efs,Blast Furnace,3183.5038960637753,1.685862723,0.05,0.0752569119549662,0.0752569119549662,0.0004727929627981116,p_efs :: Blast Furnace,
BF-BOF,BRA,p_efs,Sintering,3183.5038960637753,0.4197238619,0.05,0.02697917150385365,0.02697917150385365,0.00016949356674079706,p_efs :: Sintering,
BF-BOF,BRA,p_efs,Coal from Market,3183.5038960637753,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.941537827502632e-05,p_efs :: Coal from Market,
BF-BOF,BRA,p_efs,Hot Rolling,3183.5038960637753,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.747610990627672e-05,p_efs :: Hot Rolling,
BF-BOF,BRA,params,params.process_gas_coke,3183.5038960637753,0.085,0.05,-0.009781322782828283,0.009781322782828283,-6.145004436729192e-05,params :: params.process_gas_coke,
BF-BOF,BRA,p_efs,Burnt Lime Production,3183.5038960637753,1.159317011,0.05,0.002701612054806901,0.002701612054806901,1.6972569489531913e-05,p_efs :: Burnt Lime Production,
BF-BOF,BRA,p_efs,Pelletizing,3183.5038960637753,0.08915412303,0.05,0.000716335367769716,0.000716335367769716,4.5002952165720585e-06,p_efs :: Pelletizing,
BF-BOF,BRA,p_efs,Iron Ore from Market,3183.5038960637753,0.00889,0.05,0.0006646424196787848,0.0006646424196787848,4.175540168181217e-06,p_efs :: Iron Ore from Market,
BF-BOF,BRA,p_efs,Scrap Purchase,3183.5038960637753,0.00958,0.05,4.7900000026857015e-05,4.7900000026857015e-05,3.0092628494083317e-07,p_efs :: Scrap Purchase,
BF-BOF,BRA,p_efs,Limestone from Market,3183.5038960637753,0.002744187323,0.05,4.3762457607954275e-05,4.3762457607954275e-05,2.749326467736641e-07,p_efs :: Limestone from Market,
BF-BOF,BRA,p_efs,Dolomite Production,3183.5038960637753,0.08943387259,0.05,2.2358468413585797e-05,2.2358468413585797e-05,1.4046452678277412e-07,p_efs :: Dolomite Production,
BF-BOF,BRA,e_efs,RLF,3183.5038960637753,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
BF-BOF,BRA,e_efs,Wood,3183.5038960637753,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
BF-BOF,BRA,e_efs,Charcoal,3183.5038960637753,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
BF-BOF,BRA,e_efs,FLF,3183.5038960637753,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
BF-BOF,BRA,params,params.iron_content_pig_iron,3183.5038960637753,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
BF-BOF,BRA,p_efs,Coke Production,3183.5038960637753,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
BF-BOF,BRA,params,params.feo3_sinter,3183.5038960637753,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
BF-BOF,BRA,params,params.feo3_pellet,3183.5038960637753,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
BF-BOF,BRA,params,params.blend.sinter,3183.5038960637753,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
BF-BOF,BRA,params,params.feo3_lump,3183.5038960637753,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
BF-BOF,BRA,params,params.blend.lump,3183.5038960637753,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
BF-BOF,BRA,params,params.blend.pellet,3183.5038960637753,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
