route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,CHN,energy_int,Blast Furnace,3457.7637572722665,13.0,0.05,120.32316695536792,120.32316695536792,0.6959594431650097,energy_int :: Blast Furnace,
BF-BOF,CHN,e_efs,Coke,3457.7637572722665,135.8112848,0.05,118.22462848756548,118.22462848756548,0.6838213179770825,e_efs :: Coke,
BF-BOF,CHN,params,params.process_gas,3457.7637572722665,0.275,0.05,59.40029926209286,59.40029926209286,0.34357638885631736,params :: params.process_gas,
BF-BOF,CHN,e_efs,Coal,3457.7637572722665,111.9508768,0.05,28.517470328661602,28.517470328661602,0.16494747663824344,e_efs :: Coal,
BF-BOF,CHN,energy_int,Sintering,3457.7637572722665,2.0,0.05,18.049441797590816,18.049441797590816,0.10439950826385849,energy_int :: Sintering,
BF-BOF,CHN,energy_int,Hot Rolling,3457.7637572722665,2.5,0.05,11.16690463671739,11.16690463671739,0.0645903272786146,energy_int :: Hot Rolling,
BF-BOF,CHN,e_efs,Gas,3457.7637572722665,72.72788705,0.05,9.084986685300919,9.084986685300919,0.052548336572697564,e_efs :: Gas,
BF-BOF,CHN,energy_int,Nitrogen Production,3457.7637572722665,4.940640469,0.05,7.215039725951101,7.215039725951101,0.04173240413418437,energy_int :: Nitrogen Production,
BF-BOF,CHN,energy_int,Oxygen Production,3457.7637572722665,4.5,0.05,5.657434456604051,5.657434456604051,0.03272308262648367,energy_int :: Oxygen Production,
BF-BOF,CHN,e_efs,Electricity,3457.7637572722665,38.5,0.05,4.16495923655998,4.16495923655998,0.024090478869762927,e_efs :: Electricity,
BF-BOF,CHN,energy_int,Basic Oxygen Furnace,3457.7637572722665,0.35,0.05,2.7258810360228836,2.7258810360228836,0.01576672802061674,energy_int :: Basic Oxygen Furnace,
BF-BOF,CHN,energy_int,Burnt Lime Production,3457.7637572722665,6.609049917,0.05,1.1456878873723326,1.1456878873723326,0.0066267562956708985,energy_int :: Burnt Lime Production,
BF-BOF,CHN,energy_int,Pelletizing,3457.7637572722665,1.1,0.05,0.7161794429348447,0.7161794429348447,0.004142442880480757,energy_int :: Pelletizing,
BF-BOF,CHN,energy_int,Dolomite Production,3457.7637572722665,6.609049917,0.05,0.12290952867351736,0.12290952867351736,0.0007109191795710026,energy_int :: Dolomite Production,
BF-BOF,CHN,p_efs,Basic Oxygen Furnace,3457.7637572722665,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006476873867656158,p_efs :: Basic Oxygen Furnace,
BF-BOF,CHN,p_efs,Blast Furnace,3457.7637572722665,1.685862723,0.05,0.07525691195473883,0.07525691195473883,0.00043529238685818664,p_efs :: Blast Furnace,
BF-BOF,CHN,energy_int,Coke Production,3457.7637572722665,6.54,0.05,-0.06684000416771596,0.06684000416771596,-0.0003866082755199226,energy_int :: Coke Production,
BF-BOF,CHN,p_efs,Sintering,3457.7637572722665,0.4197238619,0.05,0.026979171503626276,0.026979171503626276,0.00015604982524838187,p_efs :: Sintering,
BF-BOF,CHN,p_efs,Coal from Market,3457.7637572722665,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.232320802943412e-05,p_efs :: Coal from Market,
BF-BOF,CHN,p_efs,Hot Rolling,3457.7637572722665,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.053775684167056e-05,p_efs :: Hot Rolling,
BF-BOF,CHN,params,params.process_gas_coke,3457.7637572722665,0.085,0.05,-0.006175397237484503,0.006175397237484503,-3.571902345553012e-05,params :: params.process_gas_coke,
BF-BOF,CHN,p_efs,Burnt Lime Production,3457.7637572722665,1.159317011,0.05,0.002701612054352154,0.002701612054352154,1.562635416413399e-05,p_efs :: Burnt Lime Production,
BF-BOF,CHN,p_efs,Pelletizing,3457.7637572722665,0.08915412303,0.05,0.0007163353675423423,0.0007163353675423423,4.143344761687475e-06,p_efs :: Pelletizing,
BF-BOF,CHN,p_efs,Iron Ore from Market,3457.7637572722665,0.00889,0.05,0.0006646424194514111,0.0006646424194514111,3.844348348284667e-06,p_efs :: Iron Ore from Market,
BF-BOF,CHN,p_efs,Scrap Purchase,3457.7637572722665,0.00958,0.05,4.7900000026857015e-05,4.7900000026857015e-05,2.7705767883138424e-07,p_efs :: Scrap Purchase,
BF-BOF,CHN,p_efs,Limestone from Market,3457.7637572722665,0.002744187323,0.05,4.3762457607954275e-05,4.3762457607954275e-05,2.5312578116948773e-07,p_efs :: Limestone from Market,
BF-BOF,CHN,p_efs,Dolomite Production,3457.7637572722665,0.08943387259,0.05,2.2358467958838446e-05,2.2358467958838446e-05,1.2932328249328646e-07,p_efs :: Dolomite Production,
