route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,DEU,energy_int,Blast Furnace,3328.293024432916,13.0,0.05,122.6596376631885,122.6596376631885,0.7370723476733999,energy_int :: Blast Furnace,
BF-BOF,DEU,e_efs,Coke,3328.293024432916,135.8112848,0.05,118.22462848756548,118.22462848756548,0.7104219948164507,e_efs :: Coke,
BF-BOF,DEU,params,params.process_gas,3328.293024432916,0.275,0.05,64.46087468214569,64.46087468214569,0.3873509586381969,params :: params.process_gas,
BF-BOF,DEU,e_efs,Coal,3328.293024432916,111.9508768,0.05,28.517470328661375,28.517470328661375,0.17136394012976225,e_efs :: Coal,
BF-BOF,DEU,energy_int,Sintering,3328.293024432916,2.0,0.05,16.28281679427232,16.28281679427232,0.09784485124801555,energy_int :: Sintering,
BF-BOF,DEU,energy_int,Hot Rolling,3328.293024432916,2.5,0.05,9.673210722859494,9.673210722859494,0.058127157986683844,energy_int :: Hot Rolling,
BF-BOF,DEU,e_efs,Gas,3328.293024432916,72.72788705,0.05,9.084986685301374,9.084986685301374,0.054592468984002995,e_efs :: Gas,
BF-BOF,DEU,energy_int,Nitrogen Production,3328.293024432916,4.940640469,0.05,4.447516275275802,4.447516275275802,0.026725509098067365,energy_int :: Nitrogen Production,
BF-BOF,DEU,e_efs,Electricity,3328.293024432916,38.5,0.05,4.16495923655998,4.16495923655998,0.02502759946906789,e_efs :: Electricity,
BF-BOF,DEU,energy_int,Oxygen Production,3328.293024432916,4.5,0.05,3.4873721842068335,3.4873721842068335,0.020955920398871862,energy_int :: Oxygen Production,
BF-BOF,DEU,energy_int,Basic Oxygen Furnace,3328.293024432916,0.35,0.05,1.6802952642976834,1.6802952642976834,0.010097039244818156,energy_int :: Basic Oxygen Furnace,
BF-BOF,DEU,energy_int,Burnt Lime Production,3328.293024432916,6.609049917,0.05,1.1272839208943424,1.1272839208943424,0.00677394636000484,energy_int :: Burnt Lime Production,
BF-BOF,DEU,energy_int,Pelletizing,3328.293024432916,1.1,0.05,0.6633727128601095,0.6633727128601095,0.003986263877551087,energy_int :: Pelletizing,
BF-BOF,DEU,energy_int,Dolomite Production,3328.293024432916,6.609049917,0.05,0.12093514902744573,0.12093514902744573,0.0007267097466458861,energy_int :: Dolomite Production,
BF-BOF,DEU,p_efs,Basic Oxygen Furnace,3328.293024432916,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006728824522240233,p_efs :: Basic Oxygen Furnace,
BF-BOF,DEU,energy_int,Coke Production,3328.293024432916,6.54,0.05,-0.08526458765277312,0.08526458765277312,-0.000512362265142209,energy_int :: Coke Production,
BF-BOF,DEU,p_efs,Blast Furnace,3328.293024432916,1.685862723,0.05,0.07525691195473883,0.07525691195473883,0.00045222527825693063,p_efs :: Blast Furnace,
BF-BOF,DEU,p_efs,Sintering,3328.293024432916,0.4197238619,0.05,0.026979171503626276,0.026979171503626276,0.00016212016974210413,p_efs :: Sintering,
BF-BOF,DEU,p_efs,Coal from Market,3328.293024432916,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.552558414085632e-05,p_efs :: Coal from Market,
BF-BOF,DEU,p_efs,Hot Rolling,3328.293024432916,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.36706788299036e-05,p_efs :: Hot Rolling,
BF-BOF,DEU,params,params.process_gas_coke,3328.293024432916,0.085,0.05,-0.007877658081724803,0.007877658081724803,-4.733752721827743e-05,params :: params.process_gas_coke,
