route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,IND,energy_int,Blast Furnace,3547.185972985007,13.0,0.05,118.70942473688183,118.70942473688183,0.669316047373666,energy_int :: Blast Furnace,
BF-BOF,IND,e_efs,Coke,3547.185972985007,135.8112848,0.05,118.22462848756506,118.22462848756506,0.6665826341666397,e_efs :: Coke,
BF-BOF,IND,params,params.process_gas,3547.185972985007,0.275,0.05,55.905085657301015,55.905085657301015,0.3152080893591046,params :: params.process_gas,
BF-BOF,IND,e_efs,Coal,3547.185972985007,111.9508768,0.05,28.51747032866115,28.51747032866115,0.1607892596883681,e_efs :: Coal,
BF-BOF,IND,energy_int,Sintering,3547.185972985007,2.0,0.05,19.269605757937597,19.269605757937597,0.10864728212556587,energy_int :: Sintering,
BF-BOF,IND,energy_int,Hot Rolling,3547.185972985007,2.5,0.05,12.198561880362604,12.198561880362604,0.06877881212468452,energy_int :: Hot Rolling,
BF-BOF,IND,energy_int,Nitrogen Production,3547.185972985007,4.940640469,0.05,9.126499355235637,9.126499355235637,0.0514576874443127,energy_int :: Nitrogen Production,
BF-BOF,IND,e_efs,Gas,3547.185972985007,72.72788705,0.05,9.084986685300919,9.084986685300919,0.05122362771217081,e_efs :: Gas,
BF-BOF,IND,energy_int,Oxygen Production,3547.185972985007,4.5,0.05,7.156242506706349,7.156242506706349,0.04034884306155659,energy_int :: Oxygen Production,
BF-BOF,IND,e_efs,Electricity,3547.185972985007,38.5,0.05,4.16495923655998,4.16495923655998,0.0234831738075188,e_efs :: Electricity,
BF-BOF,IND,energy_int,Basic Oxygen Furnace,3547.185972985007,0.35,0.05,3.4480411286942854,3.4480411286942854,0.019440994382331243,energy_int :: Basic Oxygen Furnace,
BF-BOF,IND,energy_int,Burnt Lime Production,3547.185972985007,6.609049917,0.05,1.158399049380023,1.158399049380023,0.006531369137125978,energy_int :: Burnt Lime Production,
BF-BOF,IND,energy_int,Pelletizing,3547.185972985007,1.1,0.05,0.7526517382893871,0.7526517382893871,0.004243655359609015,energy_int :: Pelletizing,
BF-BOF,IND,energy_int,Dolomite Production,3547.185972985007,6.609049917,0.05,0.12427318359959827,0.12427318359959827,0.0007006860342031665,energy_int :: Dolomite Production,
BF-BOF,IND,p_efs,Basic Oxygen Furnace,3547.185972985007,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006313596154971031,p_efs :: Basic Oxygen Furnace,
BF-BOF,IND,p_efs,Blast Furnace,3547.185972985007,1.685862723,0.05,0.0752569119549662,0.0752569119549662,0.00042431895326670144,p_efs :: Blast Furnace,
BF-BOF,IND,energy_int,Coke Production,3547.185972985007,6.54,0.05,-0.05411460250570599,0.05411460250570599,-0.00030511285801103794,energy_int :: Coke Production,
BF-BOF,IND,p_efs,Sintering,3547.185972985007,0.4197238619,0.05,0.02697917150385365,0.02697917150385365,0.00015211591221505816,p_efs :: Sintering,
BF-BOF,IND,p_efs,Coal from Market,3547.185972985007,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.024789432368612e-05,p_efs :: Coal from Market,
BF-BOF,IND,p_efs,Hot Rolling,3547.185972985007,0.2784805367,0.05,0.013924026835184124,0.013924026835184124,7.850745318248344e-05,p_efs :: Hot Rolling,
BF-BOF,IND,params,params.process_gas_coke,3547.185972985007,0.085,0.05,-0.004999688000907554,0.004999688000907554,-2.8189601780028726e-05,params :: params.process_gas_coke,
BF-BOF,IND,p_efs,Burnt Lime Production,3547.185972985007,1.159317011,0.05,0.0027016120545795275,0.0027016120545795275,1.5232424097043225e-05,p_efs :: Burnt Lime Production,
BF-BOF,IND,p_efs,Pelletizing,3547.185972985007,0.08915412303,0.05,0.0007163353675423423,0.0007163353675423423,4.038893776632388e-06,p_efs :: Pelletizing,
BF-BOF,IND,p_efs,Iron Ore from Market,3547.185972985007,0.00889,0.05,0.0006646424196787848,0.0006646424196787848,3.7474348666274117e-06,p_efs :: Iron Ore from Market,
BF-BOF,IND,p_efs,Scrap Purchase,3547.185972985007,0.00958,0.05,4.7900000026857015e-05,4.7900000026857015e-05,2.700732377251057e-07,p_efs :: Scrap Purchase,
BF-BOF,IND,p_efs,Limestone from Market,3547.185972985007,0.002744187323,0.05,4.3762457607954275e-05,4.3762457607954275e-05,2.4674464739793467e-07,p_efs :: Limestone from Market,
BF-BOF,IND,p_efs,Dolomite Production,3547.185972985007,0.08943387259,0.05,2.2358468186212118e-05,2.2358468186212118e-05,1.2606312923253445e-07,p_efs :: Dolomite Production,
BF-BOF,IND,e_efs,RLF,3547.185972985007,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
BF-BOF,IND,e_efs,Wood,3547.185972985007,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
BF-BOF,IND,e_efs,Charcoal,3547.185972985007,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
BF-BOF,IND,e_efs,FLF,3547.185972985007,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
BF-BOF,IND,params,params.iron_content_pig_iron,3547.185972985007,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
BF-BOF,IND,p_efs,Coke Production,3547.185972985007,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
BF-BOF,IND,params,params.feo3_sinter,3547.185972985007,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
BF-BOF,IND,params,params.feo3_pellet,3547.185972985007,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
BF-BOF,IND,params,params.blend.sinter,3547.185972985007,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
BF-BOF,IND,params,params.feo3_lump,3547.185972985007,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
BF-BOF,IND,params,params.blend.lump,3547.185972985007,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
BF-BOF,IND,params,params.blend.pellet,3547.185972985007,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
