route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,IRN,energy_int,Blast Furnace,3507.3105450734224,13.0,0.05,119.42902960227502,119.42902960227502,0.6810291137181004,energy_int :: Blast Furnace,
BF-BOF,IRN,e_efs,Coke,3507.3105450734224,135.8112848,0.05,118.22462848756548,118.22462848756548,0.6741611669011223,e_efs :: Coke,
BF-BOF,IRN,params,params.process_gas,3507.3105450734224,0.275,0.05,57.46368199740049,57.46368199740049,0.3276794641302432,params :: params.process_gas,
BF-BOF,IRN,e_efs,Coal,3507.3105450734224,111.9508768,0.05,28.517470328661375,28.517470328661375,0.16261731011369218,e_efs :: Coal,
BF-BOF,IRN,energy_int,Sintering,3507.3105450734224,2.0,0.05,18.725506513098935,18.725506513098935,0.10677986036566905,energy_int :: Sintering,
BF-BOF,IRN,energy_int,Hot Rolling,3507.3105450734224,2.5,0.05,11.738522127147235,11.738522127147235,0.06693745521699447,energy_int :: Hot Rolling,
BF-BOF,IRN,e_efs,Gas,3507.3105450734224,72.72788705,0.05,9.084986685300919,9.084986685300919,0.05180600102869268,e_efs :: Gas,
BF-BOF,IRN,energy_int,Nitrogen Production,3507.3105450734224,4.940640469,0.05,8.274135431507148,8.274135431507148,0.047182223103280616,energy_int :: Nitrogen Production,
BF-BOF,IRN,energy_int,Oxygen Production,3507.3105450734224,4.5,0.05,6.487889437183185,6.487889437183185,0.03699637858584528,energy_int :: Oxygen Production,
BF-BOF,IRN,e_efs,Electricity,3507.3105450734224,38.5,0.05,4.16495923655998,4.16495923655998,0.02375015946284158,e_efs :: Electricity,
BF-BOF,IRN,energy_int,Basic Oxygen Furnace,3507.3105450734224,0.35,0.05,3.126013291579966,3.126013291579966,0.017825700070790425,energy_int :: Basic Oxygen Furnace,
