route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,JPN,energy_int,Blast Furnace,3411.3542114934553,13.0,0.05,121.16068862453152,121.16068862453152,0.7103377785650036,energy_int :: Blast Furnace,
BF-BOF,JPN,e_efs,Coke,3411.3542114934553,135.8112848,0.05,118.22462848756572,118.22462848756572,0.693124320478044,e_efs :: Coke,
BF-BOF,JPN,params,params.process_gas,3411.3542114934553,0.275,0.05,61.21429228950161,61.21429228950161,0.3588855832282666,params :: params.process_gas,
BF-BOF,JPN,e_efs,Coal,3411.3542114934553,111.9508768,0.05,28.517470328661602,28.517470328661602,0.16719149382131707,e_efs :: Coal,
BF-BOF,JPN,energy_int,Sintering,3411.3542114934553,2.0,0.05,17.416184673239513,17.416184673239513,0.10210716093076062,energy_int :: Sintering,
BF-BOF,JPN,energy_int,Hot Rolling,3411.3542114934553,2.5,0.05,10.631481266859964,10.631481266859964,0.062329975767632835,energy_int :: Hot Rolling,
BF-BOF,JPN,e_efs,Gas,3411.3542114934553,72.72788705,0.05,9.084986685300919,9.084986685300919,0.05326322698881279,e_efs :: Gas,
BF-BOF,JPN,energy_int,Nitrogen Production,3411.3542114934553,4.940640469,0.05,6.223004665506778,6.223004665506778,0.03648407218775685,energy_int :: Nitrogen Production,
BF-BOF,JPN,energy_int,Oxygen Production,3411.3542114934553,4.5,0.05,4.879562869991105,4.879562869991105,0.028607776076439058,energy_int :: Oxygen Production,
BF-BOF,JPN,e_efs,Electricity,3411.3542114934553,38.5,0.05,4.16495923655998,4.16495923655998,0.024418216217638712,e_efs :: Electricity,
BF-BOF,JPN,energy_int,Basic Oxygen Furnace,3411.3542114934553,0.35,0.05,2.351084665643839,2.351084665643839,0.01378387889315404,energy_int :: Basic Oxygen Furnace,
BF-BOF,JPN,energy_int,Burnt Lime Production,3411.3542114934553,6.609049917,0.05,1.1390908773294086,1.1390908773294086,0.006678232787973821,energy_int :: Burnt Lime Production,
BF-BOF,JPN,energy_int,Pelletizing,3411.3542114934553,1.1,0.05,0.6972505599119359,0.6972505599119359,0.004087822704325311,energy_int :: Pelletizing,
BF-BOF,JPN,energy_int,Dolomite Production,3411.3542114934553,6.609049917,0.05,0.12220180067492947,0.12220180067492947,0.0007164415835987363,energy_int :: Dolomite Production,
BF-BOF,JPN,p_efs,Basic Oxygen Furnace,3411.3542114934553,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006564988075571548,p_efs :: Basic Oxygen Furnace,
BF-BOF,JPN,p_efs,Blast Furnace,3411.3542114934553,1.685862723,0.05,0.07525691195473883,0.07525691195473883,0.0004412142937322954,p_efs :: Blast Furnace,
BF-BOF,JPN,energy_int,Coke Production,3411.3542114934553,6.54,0.05,-0.07344440449810463,0.07344440449810463,-0.0004305879714903686,energy_int :: Coke Production,
BF-BOF,JPN,p_efs,Sintering,3411.3542114934553,0.4197238619,0.05,0.026979171504081023,0.026979171504081023,0.0001581727949163615,p_efs :: Sintering,
BF-BOF,JPN,p_efs,Coal from Market,3411.3542114934553,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.344316874146701e-05,p_efs :: Coal from Market,
BF-BOF,JPN,p_efs,Hot Rolling,3411.3542114934553,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.163342749952052e-05,p_efs :: Hot Rolling,
BF-BOF,JPN,params,params.process_gas_coke,3411.3542114934553,0.085,0.05,-0.006785582650309152,0.006785582650309152,-3.9782339971893424e-05,params :: params.process_gas_coke,
