route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,KOR,energy_int,Blast Furnace,3370.4618844435936,13.0,0.05,121.89864478057825,121.89864478057825,0.7233349550291779,energy_int :: Blast Furnace,
BF-BOF,KOR,e_efs,Coke,3370.4618844435936,135.8112848,0.05,118.22462848756527,118.22462848756527,0.7015336920629924,e_efs :: Coke,
BF-BOF,KOR,params,params.process_gas,3370.4618844435936,0.275,0.05,62.812635796169616,62.812635796169616,0.37272420190290284,params :: params.process_gas,
BF-BOF,KOR,e_efs,Coal,3370.4618844435936,111.9508768,0.05,28.51747032866115,28.51747032866115,0.16921995445362467,e_efs :: Coal,
BF-BOF,KOR,energy_int,Sintering,3370.4618844435936,2.0,0.05,16.858209864370792,16.858209864370792,0.10003501266209275,energy_int :: Sintering,
BF-BOF,KOR,energy_int,Hot Rolling,3370.4618844435936,2.5,0.05,10.159709626286713,10.159709626286713,0.060286749855733256,energy_int :: Hot Rolling,
BF-BOF,KOR,e_efs,Gas,3370.4618844435936,72.72788705,0.05,9.084986685300692,9.084986685300692,0.05390944622297943,e_efs :: Gas,
BF-BOF,KOR,energy_int,Nitrogen Production,3370.4618844435936,4.940640469,0.05,5.348903843017752,5.348903843017752,0.03173988626132032,energy_int :: Nitrogen Production,
BF-BOF,KOR,energy_int,Oxygen Production,3370.4618844435936,4.5,0.05,4.194165527941095,4.194165527941095,0.02488777901509176,energy_int :: Oxygen Production,
BF-BOF,KOR,e_efs,Electricity,3370.4618844435936,38.5,0.05,4.16495923655998,4.16495923655998,0.024714471662079306,e_efs :: Electricity,
BF-BOF,KOR,energy_int,Basic Oxygen Furnace,3370.4618844435936,0.35,0.05,2.020844507127549,2.020844507127549,0.01199149894828825,energy_int :: Basic Oxygen Furnace,
BF-BOF,KOR,energy_int,Burnt Lime Production,3370.4618844435936,6.609049917,0.05,1.1332781272219563,1.1332781272219563,0.006724764534217786,energy_int :: Burnt Lime Production,
BF-BOF,KOR,energy_int,Pelletizing,3370.4618844435936,1.1,0.05,0.6805719636820413,0.6805719636820413,0.0040384492512627376,energy_int :: Pelletizing,
BF-BOF,KOR,energy_int,Dolomite Production,3370.4618844435936,6.609049917,0.05,0.12157820817355967,0.12157820817355967,0.0007214335147043516,energy_int :: Dolomite Production,
BF-BOF,KOR,p_efs,Basic Oxygen Furnace,3370.4618844435936,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006644638179524299,p_efs :: Basic Oxygen Furnace,
BF-BOF,KOR,energy_int,Coke Production,3370.4618844435936,6.54,0.05,-0.07926366632727877,0.07926366632727877,-0.0004703430511593746,energy_int :: Coke Production,
BF-BOF,KOR,p_efs,Blast Furnace,3370.4618844435936,1.685862723,0.05,0.07525691195473883,0.07525691195473883,0.0004465673521014315,p_efs :: Blast Furnace,
BF-BOF,KOR,p_efs,Sintering,3370.4618844435936,0.4197238619,0.05,0.026979171504081023,0.026979171504081023,0.0001600918356537643,p_efs :: Sintering,
BF-BOF,KOR,p_efs,Coal from Market,3370.4618844435936,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.445554789401042e-05,p_efs :: Coal from Market,
BF-BOF,KOR,p_efs,Hot Rolling,3370.4618844435936,0.2784805367,0.05,0.013924026835184124,0.013924026835184124,8.262384986135361e-05,p_efs :: Hot Rolling,
BF-BOF,KOR,params,params.process_gas_coke,3370.4618844435936,0.085,0.05,-0.007323228538552939,0.007323228538552939,-4.345534107567504e-05,params :: params.process_gas_coke,
BF-BOF,KOR,p_efs,Burnt Lime Production,3370.4618844435936,1.159317011,0.05,0.002701612054352154,0.002701612054352154,1.6031108773675654e-05,p_efs :: Burnt Lime Production,
BF-BOF,KOR,p_efs,Pelletizing,3370.4618844435936,0.08915412303,0.05,0.000716335367769716,0.000716335367769716,4.250665886927666e-06,p_efs :: Pelletizing,
BF-BOF,KOR,p_efs,Iron Ore from Market,3370.4618844435936,0.00889,0.05,0.0006646424194514111,0.0006646424194514111,3.94392485207488e-06,p_efs :: Iron Ore from Market,
BF-BOF,KOR,p_efs,Scrap Purchase,3370.4618844435936,0.00958,0.05,4.7900000026857015e-05,4.7900000026857015e-05,2.8423404072860174e-07,p_efs :: Scrap Purchase,
BF-BOF,KOR,p_efs,Limestone from Market,3370.4618844435936,0.002744187323,0.05,4.3762457607954275e-05,4.3762457607954275e-05,2.596822578527911e-07,p_efs :: Limestone from Market,
BF-BOF,KOR,p_efs,Dolomite Production,3370.4618844435936,0.08943387259,0.05,2.2358467958838446e-05,2.2358467958838446e-05,1.326730206446435e-07,p_efs :: Dolomite Production,
BF-BOF,KOR,e_efs,RLF,3370.4618844435936,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
BF-BOF,KOR,e_efs,Wood,3370.4618844435936,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
BF-BOF,KOR,e_efs,Charcoal,3370.4618844435936,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
BF-BOF,KOR,e_efs,FLF,3370.4618844435936,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
BF-BOF,KOR,params,params.iron_content_pig_iron,3370.4618844435936,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
BF-BOF,KOR,p_efs,Coke Production,3370.4618844435936,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
