route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,TUR,energy_int,Blast Furnace,3345.5154013279894,13.0,0.05,122.34883708106463,122.34883708106463,0.731419960180119,energy_int :: Blast Furnace,
BF-BOF,TUR,e_efs,Coke,3345.5154013279894,135.8112848,0.05,118.22462848756527,118.22462848756527,0.7067648138199362,e_efs :: Coke,
BF-BOF,TUR,params,params.process_gas,3345.5154013279894,0.275,0.05,63.787709903675925,63.787709903675925,0.38133263340145224,params :: params.process_gas,
BF-BOF,TUR,e_efs,Coal,3345.5154013279894,111.9508768,0.05,28.517470328661375,28.517470328661375,0.17048177579658713,e_efs :: Coal,
BF-BOF,TUR,energy_int,Sintering,3345.5154013279894,2.0,0.05,16.517815708483795,16.517815708483795,0.09874601505004049,energy_int :: Sintering,
BF-BOF,TUR,energy_int,Hot Rolling,3345.5154013279894,2.5,0.05,9.871903964074363,9.871903964074363,0.059015743643898624,energy_int :: Hot Rolling,
BF-BOF,TUR,e_efs,Gas,3345.5154013279894,72.72788705,0.05,9.084986685300919,9.084986685300919,0.05431143244293342,e_efs :: Gas,
BF-BOF,TUR,energy_int,Nitrogen Production,3345.5154013279894,4.940640469,0.05,4.815656092578365,4.815656092578365,0.028788724694956174,energy_int :: Nitrogen Production,
BF-BOF,TUR,e_efs,Electricity,3345.5154013279894,38.5,0.05,4.16495923655998,4.16495923655998,0.024898759903521687,e_efs :: Electricity,
BF-BOF,TUR,energy_int,Oxygen Production,3345.5154013279894,4.5,0.05,3.7760368848807957,3.7760368848807957,0.02257372292102982,energy_int :: Oxygen Production,
BF-BOF,TUR,energy_int,Basic Oxygen Furnace,3345.5154013279894,0.35,0.05,1.8193805374082785,1.8193805374082785,0.01087653362280791,energy_int :: Basic Oxygen Furnace,
BF-BOF,TUR,energy_int,Burnt Lime Production,3345.5154013279894,6.609049917,0.05,1.1297320421035693,1.1297320421035693,0.006753710006267653,energy_int :: Burnt Lime Production,
BF-BOF,TUR,energy_int,Pelletizing,3345.5154013279894,1.1,0.05,0.6703971375156925,0.6703971375156925,0.004007736071097332,energy_int :: Pelletizing,
BF-BOF,TUR,energy_int,Dolomite Production,3345.5154013279894,6.609049917,0.05,0.1211977837529048,0.1211977837529048,0.0007245387882823424,energy_int :: Dolomite Production,
BF-BOF,TUR,p_efs,Basic Oxygen Furnace,3345.5154013279894,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006694185210181818,p_efs :: Basic Oxygen Furnace,
BF-BOF,TUR,energy_int,Coke Production,3345.5154013279894,6.54,0.05,-0.08281372394117172,0.08281372394117172,-0.0004950730396177469,energy_int :: Coke Production,
BF-BOF,TUR,p_efs,Blast Furnace,3345.5154013279894,1.685862723,0.05,0.07525691195451145,0.07525691195451145,0.00044989726799427385,p_efs :: Blast Furnace,
BF-BOF,TUR,p_efs,Sintering,3345.5154013279894,0.4197238619,0.05,0.02697917150385365,0.02697917150385365,0.00016128559141078455,p_efs :: Sintering,
BF-BOF,TUR,p_efs,Coal from Market,3345.5154013279894,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.508530703328107e-05,p_efs :: Coal from Market,
BF-BOF,TUR,p_efs,Hot Rolling,3345.5154013279894,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,8.323995058835874e-05,p_efs :: Hot Rolling,
