route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
BF-BOF,USA,energy_int,Blast Furnace,3351.9846107395824,13.0,0.05,122.23209163627278,122.23209163627278,0.7293117709708309,energy_int :: Blast Furnace,
BF-BOF,USA,e_efs,Coke,3351.9846107395824,135.8112848,0.05,118.22462848756506,118.22462848756506,0.7054007832182735,e_efs :: Coke,
BF-BOF,USA,params,params.process_gas,3351.9846107395824,0.275,0.05,63.534850269552415,63.534850269552415,0.379087959210732,params :: params.process_gas,
BF-BOF,USA,e_efs,Coal,3351.9846107395824,111.9508768,0.05,28.517470328661375,28.517470328661375,0.17015275211761355,e_efs :: Coal,
BF-BOF,USA,energy_int,Sintering,3351.9846107395824,2.0,0.05,16.606087913696683,16.606087913696683,0.09908212502224295,energy_int :: Sintering,
BF-BOF,USA,energy_int,Hot Rolling,3351.9846107395824,2.5,0.05,9.946538736842285,9.946538736842285,0.0593471623048274,energy_int :: Hot Rolling,
BF-BOF,USA,e_efs,Gas,3351.9846107395824,72.72788705,0.05,9.084986685300919,9.084986685300919,0.05420661333702488,e_efs :: Gas,
BF-BOF,USA,energy_int,Nitrogen Production,3351.9846107395824,4.940640469,0.05,4.95393976767059,4.95393976767059,0.029558248876193693,energy_int :: Nitrogen Production,
BF-BOF,USA,e_efs,Electricity,3351.9846107395824,38.5,0.05,4.16495923655998,4.16495923655998,0.02485070619486539,e_efs :: Electricity,
BF-BOF,USA,energy_int,Oxygen Production,3351.9846107395824,4.5,0.05,3.884467469680885,3.884467469680885,0.023177119949985784,energy_int :: Oxygen Production,
BF-BOF,USA,energy_int,Basic Oxygen Furnace,3351.9846107395824,0.35,0.05,1.8716248799460118,1.8716248799460118,0.01116726415717676,energy_int :: Basic Oxygen Furnace,
BF-BOF,USA,energy_int,Burnt Lime Production,3351.9846107395824,6.609049917,0.05,1.1306516253216614,1.1306516253216614,0.006746162388091598,energy_int :: Burnt Lime Production,
BF-BOF,USA,energy_int,Pelletizing,3351.9846107395824,1.1,0.05,0.6730357090887082,0.6730357090887082,0.004015744624437339,energy_int :: Pelletizing,
BF-BOF,USA,energy_int,Dolomite Production,3351.9846107395824,6.609049917,0.05,0.12129643674666114,0.12129643674666114,0.0007237290789345139,energy_int :: Dolomite Production,
BF-BOF,USA,p_efs,Basic Oxygen Furnace,3351.9846107395824,2.239549972,0.05,0.11197749860002658,0.11197749860002658,0.0006681265674147582,p_efs :: Basic Oxygen Furnace,
BF-BOF,USA,energy_int,Coke Production,3351.9846107395824,6.54,0.05,-0.08189311056139559,0.08189311056139559,-0.0004886246213602197,energy_int :: Coke Production,
BF-BOF,USA,p_efs,Blast Furnace,3351.9846107395824,1.685862723,0.05,0.07525691195473883,0.07525691195473883,0.0004490289824936525,p_efs :: Blast Furnace,
BF-BOF,USA,p_efs,Sintering,3351.9846107395824,0.4197238619,0.05,0.02697917150385365,0.02697917150385365,0.0001609743160360212,p_efs :: Sintering,
BF-BOF,USA,p_efs,Coal from Market,3351.9846107395824,0.5236088979,0.05,0.014232710255328131,0.014232710255328131,8.492109545925283e-05,p_efs :: Coal from Market,
BF-BOF,USA,p_efs,Hot Rolling,3351.9846107395824,0.2784805367,0.05,0.013924026835184124,0.013924026835184124,8.307930048707428e-05,p_efs :: Hot Rolling,
BF-BOF,USA,params,params.process_gas_coke,3351.9846107395824,0.085,0.05,-0.007566164828858746,0.007566164828858746,-4.514438881740179e-05,params :: params.process_gas_coke,
