route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,BRA,e_efs,Gas,1425.0414568679435,72.72788705,0.05,46.882588962014324,46.882588962014324,0.6579821062196489,e_efs :: Gas,
DRI-EAF,BRA,energy_int,Direct Reduction Iron,1425.0414568679435,10.0,0.05,35.0422669723813,35.0422669723813,0.49180698292665337,energy_int :: Direct Reduction Iron,
DRI-EAF,BRA,energy_int,Sintering,1425.0414568679435,2.0,0.05,15.541331095535838,15.541331095535838,0.21811759960575,energy_int :: Sintering,
DRI-EAF,BRA,e_efs,Coke,1425.0414568679435,135.8112848,0.05,14.619419256920537,14.619419256920537,0.20517886250203735,e_efs :: Coke,
DRI-EAF,BRA,e_efs,Electricity,1425.0414568679435,38.5,0.05,10.952875754516754,10.952875754516754,0.15372009988523078,e_efs :: Electricity,
DRI-EAF,BRA,energy_int,Hot Rolling,1425.0414568679435,2.5,0.05,7.989588753655198,7.989588753655198,0.11213131681397226,energy_int :: Hot Rolling,
DRI-EAF,BRA,energy_int,Electric Arc Furnace,1425.0414568679435,4.0,0.05,7.906427091663886,7.906427091663886,0.11096416954831881,energy_int :: Electric Arc Furnace,
DRI-EAF,BRA,e_efs,Coal,1425.0414568679435,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.0192622503984863,e_efs :: Coal,
DRI-EAF,BRA,energy_int,Burnt Lime Production,1425.0414568679435,6.609049917,0.05,1.014908414710817,1.014908414710817,0.014243914235891133,energy_int :: Burnt Lime Production,
DRI-EAF,BRA,energy_int,Nitrogen Production,1425.0414568679435,4.940640469,0.05,0.8109317658571626,0.8109317658571626,0.011381167361116436,energy_int :: Nitrogen Production,
DRI-EAF,BRA,energy_int,Pelletizing,1425.0414568679435,1.1,0.05,0.6566571981820744,0.6566571981820744,0.009215973261933331,energy_int :: Pelletizing,
DRI-EAF,BRA,energy_int,Dolomite Production,1425.0414568679435,6.609049917,0.05,0.2849033309942115,0.2849033309942115,0.003998526914724181,energy_int :: Dolomite Production,
DRI-EAF,BRA,energy_int,Oxygen Production,1425.0414568679435,4.5,0.05,0.16128001074719123,0.16128001074719123,0.0022635132468589903,energy_int :: Oxygen Production,
DRI-EAF,BRA,p_efs,Direct Reduction Iron,1425.0414568679435,1.929732488,0.05,0.09648662439985856,0.09648662439985856,0.0013541588412722203,p_efs :: Direct Reduction Iron,
DRI-EAF,BRA,p_efs,Electric Arc Furnace,1425.0414568679435,1.328105452,0.05,0.06640527260015006,0.06640527260015006,0.0009319767123982518,p_efs :: Electric Arc Furnace,
DRI-EAF,BRA,p_efs,Sintering,1425.0414568679435,0.4197238619,0.05,0.029338452500155654,0.029338452500155654,0.0004117557753672342,p_efs :: Sintering,
DRI-EAF,BRA,p_efs,Hot Rolling,1425.0414568679435,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.0001954192527922655,p_efs :: Hot Rolling,
DRI-EAF,BRA,p_efs,Natural gas from Market,1425.0414568679435,0.8244897959,0.05,0.00858291226450092,0.00858291226450092,0.00012045842207798006,p_efs :: Natural gas from Market,
