route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,CHN,e_efs,Gas,2146.2812130458974,72.72788705,0.05,46.8825889620141,46.8825889620141,0.43687275159512406,e_efs :: Gas,
DRI-EAF,CHN,energy_int,Direct Reduction Iron,2146.2812130458974,10.0,0.05,38.8450416459259,38.8450416459259,0.3619753218712558,energy_int :: Direct Reduction Iron,
DRI-EAF,CHN,energy_int,Electric Arc Furnace,2146.2812130458974,4.0,0.05,27.42733699354494,27.42733699354494,0.2555800873327443,energy_int :: Electric Arc Furnace,
DRI-EAF,CHN,energy_int,Sintering,2146.2812130458974,2.0,0.05,19.617110892390656,19.617110892390656,0.1828009374834066,energy_int :: Sintering,
DRI-EAF,CHN,e_efs,Coke,2146.2812130458974,135.8112848,0.05,14.619419256920537,14.619419256920537,0.1362302308575247,e_efs :: Coke,
DRI-EAF,CHN,energy_int,Hot Rolling,2146.2812130458974,2.5,0.05,11.158567648449207,11.158567648449207,0.10398048103504118,energy_int :: Hot Rolling,
DRI-EAF,CHN,e_efs,Electricity,2146.2812130458974,38.5,0.05,10.952875754516754,10.952875754516754,0.10206375276400029,e_efs :: Electricity,
DRI-EAF,CHN,energy_int,Nitrogen Production,2146.2812130458974,4.940640469,0.05,4.396067753096986,4.396067753096986,0.040964508531091334,energy_int :: Nitrogen Production,
DRI-EAF,CHN,e_efs,Coal,2146.2812130458974,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.01278933310489125,e_efs :: Coal,
DRI-EAF,CHN,energy_int,Burnt Lime Production,2146.2812130458974,6.609049917,0.05,1.0507204449636447,1.0507204449636447,0.009791078993535183,energy_int :: Burnt Lime Production,
DRI-EAF,CHN,energy_int,Oxygen Production,2146.2812130458974,4.5,0.05,0.8743002621604319,0.8743002621604319,0.008147117505815258,energy_int :: Oxygen Production,
DRI-EAF,CHN,energy_int,Pelletizing,2146.2812130458974,1.1,0.05,0.778487572569702,0.778487572569702,0.0072542923810520665,energy_int :: Pelletizing,
DRI-EAF,CHN,energy_int,Dolomite Production,2146.2812130458974,6.609049917,0.05,0.2949564220523371,0.2949564220523371,0.0027485347237769403,energy_int :: Dolomite Production,
DRI-EAF,CHN,p_efs,Direct Reduction Iron,2146.2812130458974,1.929732488,0.05,0.09648662440008593,0.09648662440008593,0.0008991051481381308,p_efs :: Direct Reduction Iron,
DRI-EAF,CHN,p_efs,Electric Arc Furnace,2146.2812130458974,1.328105452,0.05,0.06640527259969531,0.06640527259969531,0.0006187937740502904,p_efs :: Electric Arc Furnace,
DRI-EAF,CHN,p_efs,Sintering,2146.2812130458974,0.4197238619,0.05,0.02933845250026934,0.02933845250026934,0.00027338870900923224,p_efs :: Sintering,
DRI-EAF,CHN,p_efs,Hot Rolling,2146.2812130458974,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.00012975025593404372,p_efs :: Hot Rolling,
DRI-EAF,CHN,p_efs,Natural gas from Market,2146.2812130458974,0.8244897959,0.05,0.00858291226450092,0.00858291226450092,7.997938212691587e-05,p_efs :: Natural gas from Market,
DRI-EAF,CHN,p_efs,Burnt Lime Production,2146.2812130458974,1.159317011,0.05,0.0024778943488854566,0.0024778943488854566,2.3090118236360553e-05,p_efs :: Burnt Lime Production,
DRI-EAF,CHN,p_efs,Coal from Market,2146.2812130458974,0.5236088979,0.05,0.0024404196346949902,0.0024404196346949902,2.2740912233319746e-05,p_efs :: Coal from Market,
DRI-EAF,CHN,p_efs,Pelletizing,2146.2812130458974,0.08915412303,0.05,0.0007789776327626896,0.0007789776327626896,7.258858979222043e-06,p_efs :: Pelletizing,
DRI-EAF,CHN,p_efs,Iron Ore from Market,2146.2812130458974,0.00889,0.05,0.00072276422770301,0.00072276422770301,6.7350375459634975e-06,p_efs :: Iron Ore from Market,
DRI-EAF,CHN,energy_int,Coke Production,2146.2812130458974,6.54,0.05,-0.0003341847059346037,0.0003341847059346037,-3.114081266735267e-06,energy_int :: Coke Production,
DRI-EAF,CHN,p_efs,Dolomite Production,2146.2812130458974,0.08943387259,0.05,5.366032382880803e-05,5.366032382880803e-05,5.00030690318124e-07,p_efs :: Dolomite Production,
DRI-EAF,CHN,p_efs,Limestone from Market,2146.2812130458974,0.002744187323,0.05,4.204255105832999e-05,4.204255105832999e-05,3.917711323453767e-07,p_efs :: Limestone from Market,
DRI-EAF,CHN,params,params.process_gas_coke,2146.2812130458974,0.085,0.05,-3.087557593062229e-05,3.087557593062229e-05,-2.877123066907452e-07,params :: params.process_gas_coke,
DRI-EAF,CHN,e_efs,FLF,2146.2812130458974,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,CHN,e_efs,RLF,2146.2812130458974,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,CHN,e_efs,Wood,2146.2812130458974,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,CHN,e_efs,Charcoal,2146.2812130458974,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,CHN,p_efs,Coke Production,2146.2812130458974,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,CHN,params,params.iron_content_pig_iron,2146.2812130458974,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,CHN,params,params.feo3_sinter,2146.2812130458974,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,CHN,params,params.feo3_lump,2146.2812130458974,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,CHN,params,params.feo3_pellet,2146.2812130458974,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,CHN,params,params.blend.sinter,2146.2812130458974,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,CHN,params,params.blend.pellet,2146.2812130458974,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,CHN,params,params.blend.lump,2146.2812130458974,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
DRI-EAF,CHN,params,params.process_gas,2146.2812130458974,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
