route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,DEU,e_efs,Gas,1805.803246734058,72.72788705,0.05,46.88258896201421,46.88258896201421,0.5192436002848615,e_efs :: Gas,
DRI-EAF,DEU,energy_int,Direct Reduction Iron,1805.803246734058,10.0,0.05,37.049853601866744,37.049853601866744,0.4103420864800683,energy_int :: Direct Reduction Iron,
DRI-EAF,DEU,energy_int,Electric Arc Furnace,1805.803246734058,4.0,0.05,18.21203840938142,18.21203840938142,0.2017056779836826,energy_int :: Electric Arc Furnace,
DRI-EAF,DEU,energy_int,Sintering,1805.803246734058,2.0,0.05,17.69304444363877,17.69304444363877,0.19595761028382336,energy_int :: Sintering,
DRI-EAF,DEU,e_efs,Coke,1805.803246734058,135.8112848,0.05,14.619419256920537,14.619419256920537,0.16191597045094416,e_efs :: Coke,
DRI-EAF,DEU,e_efs,Electricity,1805.803246734058,38.5,0.05,10.952875754516754,10.952875754516754,0.1213075208977049,e_efs :: Electricity,
DRI-EAF,DEU,energy_int,Hot Rolling,1805.803246734058,2.5,0.05,9.662577611651727,9.662577611651727,0.10701694804378367,energy_int :: Hot Rolling,
DRI-EAF,DEU,energy_int,Nitrogen Production,1805.803246734058,4.940640469,0.05,2.7036211021311374,2.7036211021311374,0.029943695217304056,energy_int :: Nitrogen Production,
DRI-EAF,DEU,e_efs,Coal,1805.803246734058,111.9508768,0.05,1.3724752685209296,1.3724752685209296,0.015200717697270317,e_efs :: Coal,
DRI-EAF,DEU,energy_int,Burnt Lime Production,1805.803246734058,6.609049917,0.05,1.033814544913639,1.033814544913639,0.011449913458549562,energy_int :: Burnt Lime Production,
DRI-EAF,DEU,energy_int,Pelletizing,1805.803246734058,1.1,0.05,0.7209747167526075,0.7209747167526075,0.007985086061358556,energy_int :: Pelletizing,
DRI-EAF,DEU,energy_int,Oxygen Production,1805.803246734058,4.5,0.05,0.5377025038411603,0.5377025038411603,0.0059552723123478596,energy_int :: Oxygen Production,
DRI-EAF,DEU,energy_int,Dolomite Production,1805.803246734058,6.609049917,0.05,0.2902106270942113,0.2902106270942113,0.0032141998594706353,energy_int :: Dolomite Production,
DRI-EAF,DEU,p_efs,Direct Reduction Iron,1805.803246734058,1.929732488,0.05,0.09648662439997224,0.09648662439997224,0.0010686283189984972,p_efs :: Direct Reduction Iron,
DRI-EAF,DEU,p_efs,Electric Arc Furnace,1805.803246734058,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0007354652033107375,p_efs :: Electric Arc Furnace,
DRI-EAF,DEU,p_efs,Sintering,1805.803246734058,0.4197238619,0.05,0.029338452500155654,0.029338452500155654,0.00032493520601667577,p_efs :: Sintering,
DRI-EAF,DEU,p_efs,Hot Rolling,1805.803246734058,0.2784805367,0.05,0.013924026835070437,0.013924026835070437,0.00015421421863376502,p_efs :: Hot Rolling,
DRI-EAF,DEU,p_efs,Natural gas from Market,1805.803246734058,0.8244897959,0.05,0.008582912264273546,0.008582912264273546,9.50592184369636e-05,p_efs :: Natural gas from Market,
DRI-EAF,DEU,p_efs,Burnt Lime Production,1805.803246734058,1.159317011,0.05,0.0024778943489991434,0.0024778943489991434,2.744368029552075e-05,p_efs :: Burnt Lime Production,
DRI-EAF,DEU,p_efs,Coal from Market,1805.803246734058,0.5236088979,0.05,0.0024404196345813034,0.0024404196345813034,2.7028632703978137e-05,p_efs :: Coal from Market,
DRI-EAF,DEU,p_efs,Pelletizing,1805.803246734058,0.08915412303,0.05,0.0007789776329900633,0.0007789776329900633,8.62749177573922e-06,p_efs :: Pelletizing,
DRI-EAF,DEU,p_efs,Iron Ore from Market,1805.803246734058,0.00889,0.05,0.0007227642275893231,0.0007227642275893231,8.004905616339998e-06,p_efs :: Iron Ore from Market,
DRI-EAF,DEU,energy_int,Coke Production,1805.803246734058,6.54,0.05,-0.0004492210905482353,0.0004492210905482353,-4.975304938239402e-06,energy_int :: Coke Production,
DRI-EAF,DEU,p_efs,Dolomite Production,1805.803246734058,0.08943387259,0.05,5.3660323601434357e-05,5.3660323601434357e-05,5.943097477367307e-07,p_efs :: Dolomite Production,
DRI-EAF,DEU,p_efs,Limestone from Market,1805.803246734058,0.002744187323,0.05,4.204255105832999e-05,4.204255105832999e-05,4.656382264719854e-07,p_efs :: Limestone from Market,
DRI-EAF,DEU,params,params.process_gas_coke,1805.803246734058,0.085,0.05,-4.150387371737452e-05,4.150387371737452e-05,-4.5967215744503336e-07,params :: params.process_gas_coke,
DRI-EAF,DEU,e_efs,FLF,1805.803246734058,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,DEU,e_efs,RLF,1805.803246734058,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,DEU,e_efs,Wood,1805.803246734058,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,DEU,e_efs,Charcoal,1805.803246734058,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,DEU,p_efs,Coke Production,1805.803246734058,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,DEU,params,params.iron_content_pig_iron,1805.803246734058,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,DEU,params,params.feo3_sinter,1805.803246734058,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,DEU,params,params.feo3_lump,1805.803246734058,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,DEU,params,params.feo3_pellet,1805.803246734058,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,DEU,params,params.blend.sinter,1805.803246734058,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,DEU,params,params.blend.pellet,1805.803246734058,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,DEU,params,params.blend.lump,1805.803246734058,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
DRI-EAF,DEU,params,params.process_gas,1805.803246734058,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
