route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,IND,e_efs,Gas,2381.4408779467717,72.72788705,0.05,46.8825889620141,46.8825889620141,0.3937329655854004,e_efs :: Gas,
DRI-EAF,IND,energy_int,Direct Reduction Iron,2381.4408779467717,10.0,0.05,40.084933388254285,40.084933388254285,0.3366443715605879,energy_int :: Direct Reduction Iron,
DRI-EAF,IND,energy_int,Electric Arc Furnace,2381.4408779467717,4.0,0.05,33.792114575153846,33.792114575153846,0.2837955364593279,energy_int :: Electric Arc Furnace,
DRI-EAF,IND,energy_int,Sintering,2381.4408779467717,2.0,0.05,20.94601574411081,20.94601574411081,0.1759104409274273,energy_int :: Sintering,
DRI-EAF,IND,e_efs,Coke,2381.4408779467717,135.8112848,0.05,14.619419256920537,14.619419256920537,0.12277793156490277,e_efs :: Coke,
DRI-EAF,IND,energy_int,Hot Rolling,2381.4408779467717,2.5,0.05,12.191810767113338,12.191810767113338,0.1023902031750195,energy_int :: Hot Rolling,
DRI-EAF,IND,e_efs,Electricity,2381.4408779467717,38.5,0.05,10.952875754516754,10.952875754516754,0.09198528383337481,e_efs :: Electricity,
DRI-EAF,IND,energy_int,Nitrogen Production,2381.4408779467717,4.940640469,0.05,5.5649985700158595,5.5649985700158595,0.04673639914011961,energy_int :: Nitrogen Production,
DRI-EAF,IND,e_efs,Coal,2381.4408779467717,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.011526427393016127,e_efs :: Coal,
DRI-EAF,IND,energy_int,Oxygen Production,2381.4408779467717,4.5,0.05,1.1067799638872202,1.1067799638872202,0.009295044644076678,energy_int :: Oxygen Production,
DRI-EAF,IND,energy_int,Burnt Lime Production,2381.4408779467717,6.609049917,0.05,1.0623969297405438,1.0623969297405438,0.008922303632047502,energy_int :: Burnt Lime Production,
DRI-EAF,IND,energy_int,Pelletizing,2381.4408779467717,1.1,0.05,0.8182102719499653,0.8182102719499653,0.0068715564558160195,energy_int :: Pelletizing,
DRI-EAF,IND,energy_int,Dolomite Production,2381.4408779467717,6.609049917,0.05,0.298234224620046,0.298234224620046,0.002504653610188948,energy_int :: Dolomite Production,
DRI-EAF,IND,p_efs,Direct Reduction Iron,2381.4408779467717,1.929732488,0.05,0.09648662440008593,0.09648662440008593,0.0008103213923435687,p_efs :: Direct Reduction Iron,
DRI-EAF,IND,p_efs,Electric Arc Furnace,2381.4408779467717,1.328105452,0.05,0.06640527259969531,0.06640527259969531,0.0005576898693109572,p_efs :: Electric Arc Furnace,
DRI-EAF,IND,p_efs,Sintering,2381.4408779467717,0.4197238619,0.05,0.02933845250026934,0.02933845250026934,0.0002463924489745413,p_efs :: Sintering,
DRI-EAF,IND,p_efs,Hot Rolling,2381.4408779467717,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.00011693783342596985,p_efs :: Hot Rolling,
DRI-EAF,IND,p_efs,Natural gas from Market,2381.4408779467717,0.8244897959,0.05,0.00858291226450092,0.00858291226450092,7.208167411572211e-05,p_efs :: Natural gas from Market,
DRI-EAF,IND,p_efs,Burnt Lime Production,2381.4408779467717,1.159317011,0.05,0.0024778943488854566,0.0024778943488854566,2.081004296039333e-05,p_efs :: Burnt Lime Production,
DRI-EAF,IND,p_efs,Coal from Market,2381.4408779467717,0.5236088979,0.05,0.0024404196346949902,0.0024404196346949902,2.0495319932519746e-05,p_efs :: Coal from Market,
DRI-EAF,IND,p_efs,Pelletizing,2381.4408779467717,0.08915412303,0.05,0.0007789776327626896,0.0007789776327626896,6.5420698869863e-06,p_efs :: Pelletizing,
DRI-EAF,IND,p_efs,Iron Ore from Market,2381.4408779467717,0.00889,0.05,0.00072276422770301,0.00072276422770301,6.069974143772673e-06,p_efs :: Iron Ore from Market,
DRI-EAF,IND,energy_int,Coke Production,2381.4408779467717,6.54,0.05,-0.0002547319350014732,0.0002547319350014732,-2.1393093346167613e-06,energy_int :: Coke Production,
DRI-EAF,IND,p_efs,Dolomite Production,2381.4408779467717,0.08943387259,0.05,5.366032382880803e-05,5.366032382880803e-05,4.5065425999635005e-07,p_efs :: Dolomite Production,
DRI-EAF,IND,p_efs,Limestone from Market,2381.4408779467717,0.002744187323,0.05,4.204255105832999e-05,4.204255105832999e-05,3.530849868889308e-07,p_efs :: Limestone from Market,
DRI-EAF,IND,params,params.process_gas_coke,2381.4408779467717,0.085,0.05,-2.353487479922478e-05,2.353487479922478e-05,-1.976523962208632e-07,params :: params.process_gas_coke,
DRI-EAF,IND,e_efs,FLF,2381.4408779467717,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,IND,e_efs,RLF,2381.4408779467717,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,IND,e_efs,Wood,2381.4408779467717,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,IND,e_efs,Charcoal,2381.4408779467717,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,IND,p_efs,Coke Production,2381.4408779467717,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,IND,params,params.iron_content_pig_iron,2381.4408779467717,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,IND,params,params.feo3_sinter,2381.4408779467717,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,IND,params,params.feo3_lump,2381.4408779467717,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,IND,params,params.feo3_pellet,2381.4408779467717,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,IND,params,params.blend.sinter,2381.4408779467717,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,IND,params,params.blend.pellet,2381.4408779467717,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,IND,params,params.blend.lump,2381.4408779467717,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
DRI-EAF,IND,params,params.process_gas,2381.4408779467717,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
