route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,IRN,e_efs,Gas,2276.577760982748,72.72788705,0.05,46.88258896201455,46.88258896201455,0.4118689883167126,e_efs :: Gas,
DRI-EAF,IRN,energy_int,Direct Reduction Iron,2276.577760982748,10.0,0.05,39.53203707054058,39.53203707054058,0.3472935363602558,energy_int :: Direct Reduction Iron,
DRI-EAF,IRN,energy_int,Electric Arc Furnace,2276.577760982748,4.0,0.05,30.95391349049237,30.95391349049237,0.27193372456673964,energy_int :: Electric Arc Furnace,
DRI-EAF,IRN,energy_int,Sintering,2276.577760982748,2.0,0.05,20.353426428427156,20.353426428427156,0.1788072147348135,energy_int :: Sintering,
DRI-EAF,IRN,e_efs,Coke,2276.577760982748,135.8112848,0.05,14.619419256920764,14.619419256920764,0.12843329586607125,e_efs :: Coke,
DRI-EAF,IRN,energy_int,Hot Rolling,2276.577760982748,2.5,0.05,11.731063835659825,11.731063835659825,0.10305875807726231,energy_int :: Hot Rolling,
DRI-EAF,IRN,e_efs,Electricity,2276.577760982748,38.5,0.05,10.952875754516754,10.952875754516754,0.09622228541658637,e_efs :: Electricity,
DRI-EAF,IRN,energy_int,Nitrogen Production,2276.577760982748,4.940640469,0.05,5.043745365181394,5.043745365181394,0.04430988874286571,energy_int :: Nitrogen Production,
DRI-EAF,IRN,e_efs,Coal,2276.577760982748,111.9508768,0.05,1.3724752685209296,1.3724752685209296,0.012057354613957598,e_efs :: Coal,
DRI-EAF,IRN,energy_int,Burnt Lime Production,2276.577760982748,6.609049917,0.05,1.0571901159385106,1.0571901159385106,0.009287537935731616,energy_int :: Burnt Lime Production,
DRI-EAF,IRN,energy_int,Oxygen Production,2276.577760982748,4.5,0.05,1.003111904297839,1.003111904297839,0.008812454566584344,energy_int :: Oxygen Production,
DRI-EAF,IRN,energy_int,Pelletizing,2276.577760982748,1.1,0.05,0.8004970043575668,0.8004970043575668,0.007032459141760307,energy_int :: Pelletizing,
DRI-EAF,IRN,energy_int,Dolomite Production,2276.577760982748,6.609049917,0.05,0.29677257687421843,0.29677257687421843,0.0026071815508389076,energy_int :: Dolomite Production,
DRI-EAF,IRN,p_efs,Direct Reduction Iron,2276.577760982748,1.929732488,0.05,0.09648662440008593,0.09648662440008593,0.0008476461999561553,p_efs :: Direct Reduction Iron,
DRI-EAF,IRN,p_efs,Electric Arc Furnace,2276.577760982748,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0005833780311660166,p_efs :: Electric Arc Furnace,
DRI-EAF,IRN,p_efs,Sintering,2276.577760982748,0.4197238619,0.05,0.029338452500041967,0.029338452500041967,0.0002577417121686826,p_efs :: Sintering,
DRI-EAF,IRN,p_efs,Hot Rolling,2276.577760982748,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.0001223241926860083,p_efs :: Hot Rolling,
DRI-EAF,IRN,p_efs,Natural gas from Market,2276.577760982748,0.8244897959,0.05,0.00858291226450092,0.00858291226450092,7.540188094252371e-05,p_efs :: Natural gas from Market,
DRI-EAF,IRN,p_efs,Burnt Lime Production,2276.577760982748,1.159317011,0.05,0.0024778943488854566,0.0024778943488854566,2.1768589602806315e-05,p_efs :: Burnt Lime Production,
DRI-EAF,IRN,p_efs,Coal from Market,2276.577760982748,0.5236088979,0.05,0.0024404196346949902,0.0024404196346949902,2.1439369886856095e-05,p_efs :: Coal from Market,
DRI-EAF,IRN,p_efs,Pelletizing,2276.577760982748,0.08915412303,0.05,0.0007789776329900633,0.0007789776329900633,6.843408965339238e-06,p_efs :: Pelletizing,
DRI-EAF,IRN,p_efs,Iron Ore from Market,2276.577760982748,0.00889,0.05,0.0007227642274756363,0.0007227642274756363,6.3495676700596e-06,p_efs :: Iron Ore from Market,
DRI-EAF,IRN,energy_int,Coke Production,2276.577760982748,6.54,0.05,-0.00029016175722063053,0.00029016175722063053,-2.5491047324943925e-06,energy_int :: Coke Production,
DRI-EAF,IRN,p_efs,Dolomite Production,2276.577760982748,0.08943387259,0.05,5.366032382880803e-05,5.366032382880803e-05,4.714121761924272e-07,p_efs :: Dolomite Production,
DRI-EAF,IRN,p_efs,Limestone from Market,2276.577760982748,0.002744187323,0.05,4.2042550830956316e-05,4.2042550830956316e-05,3.6934869128131587e-07,p_efs :: Limestone from Market,
DRI-EAF,IRN,params,params.process_gas_coke,2276.577760982748,0.085,0.05,-2.6808263100974727e-05,2.6808263100974727e-05,-2.355137044772167e-07,params :: params.process_gas_coke,
DRI-EAF,IRN,e_efs,FLF,2276.577760982748,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,IRN,e_efs,RLF,2276.577760982748,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,IRN,e_efs,Wood,2276.577760982748,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,IRN,e_efs,Charcoal,2276.577760982748,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,IRN,p_efs,Coke Production,2276.577760982748,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,IRN,params,params.iron_content_pig_iron,2276.577760982748,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,IRN,params,params.feo3_sinter,2276.577760982748,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,IRN,params,params.feo3_lump,2276.577760982748,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,IRN,params,params.feo3_pellet,2276.577760982748,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,IRN,params,params.blend.sinter,2276.577760982748,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,IRN,params,params.blend.pellet,2276.577760982748,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,IRN,params,params.blend.lump,2276.577760982748,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
