route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,JPN,e_efs,Gas,2024.2348832098521,72.72788705,0.05,46.882588962014324,46.882588962014324,0.4632129339424491,e_efs :: Gas,
DRI-EAF,JPN,energy_int,Direct Reduction Iron,2024.2348832098521,10.0,0.05,38.20154593160305,38.20154593160305,0.37744182998196757,energy_int :: Direct Reduction Iron,
DRI-EAF,JPN,energy_int,Electric Arc Furnace,2024.2348832098521,4.0,0.05,24.124059008412587,24.124059008412587,0.23835236916932084,energy_int :: Electric Arc Furnace,
DRI-EAF,JPN,energy_int,Sintering,2024.2348832098521,2.0,0.05,18.92741795579775,18.92741795579775,0.18700811958920827,energy_int :: Sintering,
DRI-EAF,JPN,e_efs,Coke,2024.2348832098521,135.8112848,0.05,14.619419256920537,14.619419256920537,0.1444439020212749,e_efs :: Coke,
DRI-EAF,JPN,e_efs,Electricity,2024.2348832098521,38.5,0.05,10.952875754516754,10.952875754516754,0.10821743904688229,e_efs :: Electricity,
DRI-EAF,JPN,energy_int,Hot Rolling,2024.2348832098521,2.5,0.05,10.622321219817763,10.622321219817763,0.10495146890240156,energy_int :: Hot Rolling,
DRI-EAF,JPN,energy_int,Nitrogen Production,2024.2348832098521,4.940640469,0.05,3.7894002954899406,3.7894002954899406,0.03744032203892313,energy_int :: Nitrogen Production,
DRI-EAF,JPN,e_efs,Coal,2024.2348832098521,111.9508768,0.05,1.3724752685209296,1.3724752685209296,0.013560434907085289,e_efs :: Coal,
DRI-EAF,JPN,energy_int,Burnt Lime Production,2024.2348832098521,6.609049917,0.05,1.0446604256439969,1.0446604256439969,0.010321533674861555,energy_int :: Burnt Lime Production,
DRI-EAF,JPN,energy_int,Pelletizing,2024.2348832098521,1.1,0.05,0.7578717510909883,0.7578717510909883,0.007487982322379728,energy_int :: Pelletizing,
DRI-EAF,JPN,energy_int,Oxygen Production,2024.2348832098521,4.5,0.05,0.7536448157038649,0.7536448157038649,0.007446219032732029,energy_int :: Oxygen Production,
DRI-EAF,JPN,energy_int,Dolomite Production,2024.2348832098521,6.609049917,0.05,0.2932552639330197,0.2932552639330197,0.0028974430424595935,energy_int :: Dolomite Production,
DRI-EAF,JPN,p_efs,Direct Reduction Iron,2024.2348832098521,1.929732488,0.05,0.09648662439997224,0.09648662439997224,0.000953314511080575,p_efs :: Direct Reduction Iron,
DRI-EAF,JPN,p_efs,Electric Arc Furnace,2024.2348832098521,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0006561024429598119,p_efs :: Electric Arc Furnace,
DRI-EAF,JPN,p_efs,Sintering,2024.2348832098521,0.4197238619,0.05,0.029338452500041967,0.029338452500041967,0.00028987201775240284,p_efs :: Sintering,
DRI-EAF,JPN,p_efs,Hot Rolling,2024.2348832098521,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.00013757323273549423,p_efs :: Hot Rolling,
DRI-EAF,JPN,p_efs,Natural gas from Market,2024.2348832098521,0.8244897959,0.05,0.008582912264387232,0.008582912264387232,8.480154487583189e-05,p_efs :: Natural gas from Market,
DRI-EAF,JPN,p_efs,Burnt Lime Production,2024.2348832098521,1.159317011,0.05,0.0024778943489991434,0.0024778943489991434,2.448228088105979e-05,p_efs :: Burnt Lime Production,
