route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,KOR,e_efs,Gas,1916.6975576200498,72.72788705,0.05,46.882588962014324,46.882588962014324,0.48920173947764733,e_efs :: Gas,
DRI-EAF,KOR,energy_int,Direct Reduction Iron,1916.6975576200498,10.0,0.05,37.63454970779446,37.63454970779446,0.39270201559107765,energy_int :: Direct Reduction Iron,
DRI-EAF,KOR,energy_int,Electric Arc Furnace,1916.6975576200498,4.0,0.05,21.2134784061285,21.2134784061285,0.22135446796800987,energy_int :: Electric Arc Furnace,
DRI-EAF,KOR,energy_int,Sintering,1916.6975576200498,2.0,0.05,18.319716487191386,18.319716487191386,0.19115917808064462,energy_int :: Sintering,
DRI-EAF,KOR,e_efs,Coke,1916.6975576200498,135.8112848,0.05,14.619419256920649,14.619419256920649,0.1525480031922562,e_efs :: Coke,
DRI-EAF,KOR,e_efs,Electricity,1916.6975576200498,38.5,0.05,10.952875754516754,10.952875754516754,0.11428903543986214,e_efs :: Electricity,
DRI-EAF,KOR,energy_int,Hot Rolling,1916.6975576200498,2.5,0.05,10.149824366618077,10.149824366618077,0.1059095038365995,energy_int :: Hot Rolling,
DRI-EAF,KOR,energy_int,Nitrogen Production,1916.6975576200498,4.940640469,0.05,3.2548541440316967,3.2548541440316967,0.03396314803127549,energy_int :: Nitrogen Production,
DRI-EAF,KOR,e_efs,Coal,1916.6975576200498,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.014321250246960146,e_efs :: Coal,
DRI-EAF,KOR,energy_int,Burnt Lime Production,1916.6975576200498,6.609049917,0.05,1.0393208282018804,1.0393208282018804,0.01084491211531983,energy_int :: Burnt Lime Production,
DRI-EAF,KOR,energy_int,Pelletizing,1916.6975576200498,1.1,0.05,0.7397067615365813,0.7397067615365813,0.007718554850720112,energy_int :: Pelletizing,
DRI-EAF,KOR,energy_int,Oxygen Production,1916.6975576200498,4.5,0.05,0.6473330237213304,0.6473330237213304,0.006754670512807658,energy_int :: Oxygen Production,
DRI-EAF,KOR,energy_int,Dolomite Production,1916.6975576200498,6.609049917,0.05,0.2917563413946027,0.2917563413946027,0.0030443649310731586,energy_int :: Dolomite Production,
