route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,RUS,e_efs,Gas,1971.8886718116414,72.72788705,0.05,46.882588962014324,46.882588962014324,0.4755094913034993,e_efs :: Gas,
DRI-EAF,RUS,energy_int,Direct Reduction Iron,1971.8886718116414,10.0,0.05,37.92554776974919,37.92554776974919,0.3846621598054589,energy_int :: Direct Reduction Iron,
DRI-EAF,RUS,energy_int,Electric Arc Furnace,1971.8886718116414,4.0,0.05,22.707268450687252,22.707268450687252,0.23030984228765117,energy_int :: Electric Arc Furnace,
DRI-EAF,RUS,energy_int,Sintering,1971.8886718116414,2.0,0.05,18.63160560070878,18.63160560070878,0.18897218557061124,energy_int :: Sintering,
DRI-EAF,RUS,e_efs,Coke,1971.8886718116414,135.8112848,0.05,14.619419256920537,14.619419256920537,0.14827834315300545,e_efs :: Coke,
DRI-EAF,RUS,e_efs,Electricity,1971.8886718116414,38.5,0.05,10.952875754516754,10.952875754516754,0.11109020413869485,e_efs :: Electricity,
DRI-EAF,RUS,energy_int,Hot Rolling,1971.8886718116414,2.5,0.05,10.39232275159361,10.39232275159361,0.1054047614366163,energy_int :: Hot Rolling,
DRI-EAF,RUS,energy_int,Nitrogen Production,1971.8886718116414,4.940640469,0.05,3.5291979360498544,3.5291979360498544,0.03579510330882382,energy_int :: Nitrogen Production,
DRI-EAF,RUS,e_efs,Coal,1971.8886718116414,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.013920413339154308,e_efs :: Coal,
DRI-EAF,RUS,energy_int,Burnt Lime Production,1971.8886718116414,6.609049917,0.05,1.042061256518764,1.042061256518764,0.010569169258033079,energy_int :: Burnt Lime Production,
DRI-EAF,RUS,energy_int,Pelletizing,1971.8886718116414,1.1,0.05,0.7490295339533759,0.7490295339533759,0.0075970773062478915,energy_int :: Pelletizing,
DRI-EAF,RUS,energy_int,Oxygen Production,1971.8886718116414,4.5,0.05,0.7018951603473624,0.7018951603473624,0.007119014073979211,energy_int :: Oxygen Production,
DRI-EAF,RUS,energy_int,Dolomite Production,1971.8886718116414,6.609049917,0.05,0.2925256296814496,0.2925256296814496,0.002966958874130519,energy_int :: Dolomite Production,
DRI-EAF,RUS,p_efs,Direct Reduction Iron,1971.8886718116414,1.929732488,0.05,0.09648662439997224,0.09648662439997224,0.0009786214179254519,p_efs :: Direct Reduction Iron,
DRI-EAF,RUS,p_efs,Electric Arc Furnace,1971.8886718116414,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.0006735194897085908,p_efs :: Electric Arc Furnace,
DRI-EAF,RUS,p_efs,Sintering,1971.8886718116414,0.4197238619,0.05,0.029338452500155654,0.029338452500155654,0.00029756702718111786,p_efs :: Sintering,
DRI-EAF,RUS,p_efs,Hot Rolling,1971.8886718116414,0.2784805367,0.05,0.013924026835070437,0.013924026835070437,0.00014122528349714547,p_efs :: Hot Rolling,
DRI-EAF,RUS,p_efs,Natural gas from Market,1971.8886718116414,0.8244897959,0.05,0.008582912264387232,0.008582912264387232,8.705270624128913e-05,p_efs :: Natural gas from Market,
DRI-EAF,RUS,p_efs,Burnt Lime Production,1971.8886718116414,1.159317011,0.05,0.0024778943489991434,0.0024778943489991434,2.5132193154927117e-05,p_efs :: Burnt Lime Production,
DRI-EAF,RUS,p_efs,Coal from Market,1971.8886718116414,0.5236088979,0.05,0.0024404196345813034,0.0024404196345813034,2.4752103599633808e-05,p_efs :: Coal from Market,
DRI-EAF,RUS,p_efs,Pelletizing,1971.8886718116414,0.08915412303,0.05,0.0007789776329900633,0.0007789776329900633,7.900827710262059e-06,p_efs :: Pelletizing,
DRI-EAF,RUS,p_efs,Iron Ore from Market,1971.8886718116414,0.00889,0.05,0.00072276422770301,0.00072276422770301,7.33067985059199e-06,p_efs :: Iron Ore from Market,
DRI-EAF,RUS,energy_int,Coke Production,1971.8886718116414,6.54,0.05,-0.00039310624970312347,0.00039310624970312347,-3.987103890017922e-06,energy_int :: Coke Production,
DRI-EAF,RUS,p_efs,Dolomite Production,1971.8886718116414,0.08943387259,0.05,5.366032348774752e-05,5.366032348774752e-05,5.442530732574061e-07,p_efs :: Dolomite Production,
DRI-EAF,RUS,p_efs,Limestone from Market,1971.8886718116414,0.002744187323,0.05,4.204255094464315e-05,4.204255094464315e-05,4.2641911326583387e-07,p_efs :: Limestone from Market,
DRI-EAF,RUS,params,params.process_gas_coke,1971.8886718116414,0.085,0.05,-3.631938182024897e-05,3.631938182024897e-05,-3.6837152461432936e-07,params :: params.process_gas_coke,
DRI-EAF,RUS,e_efs,FLF,1971.8886718116414,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,RUS,e_efs,RLF,1971.8886718116414,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,RUS,e_efs,Wood,1971.8886718116414,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,RUS,e_efs,Charcoal,1971.8886718116414,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,RUS,p_efs,Coke Production,1971.8886718116414,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,RUS,params,params.iron_content_pig_iron,1971.8886718116414,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,RUS,params,params.feo3_sinter,1971.8886718116414,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,RUS,params,params.feo3_lump,1971.8886718116414,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,RUS,params,params.feo3_pellet,1971.8886718116414,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,RUS,params,params.blend.sinter,1971.8886718116414,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,RUS,params,params.blend.pellet,1971.8886718116414,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,RUS,params,params.blend.lump,1971.8886718116414,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
DRI-EAF,RUS,params,params.process_gas,1971.8886718116414,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
