route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,TUR,e_efs,Gas,1851.0940992046835,72.72788705,0.05,46.88258896201444,46.88258896201444,0.5065392297685719,e_efs :: Gas,
DRI-EAF,TUR,energy_int,Direct Reduction Iron,1851.0940992046835,10.0,0.05,37.28865201147096,37.28865201147096,0.40288229569195755,energy_int :: Direct Reduction Iron,
DRI-EAF,TUR,energy_int,Electric Arc Furnace,1851.0940992046835,4.0,0.05,19.43787023976131,19.43787023976131,0.21001493385033992,energy_int :: Electric Arc Furnace,
DRI-EAF,TUR,energy_int,Sintering,1851.0940992046835,2.0,0.05,17.948986437824487,17.948986437824487,0.19392840640069256,energy_int :: Sintering,
DRI-EAF,TUR,e_efs,Coke,1851.0940992046835,135.8112848,0.05,14.619419256920649,14.619419256920649,0.15795436075563998,e_efs :: Coke,
DRI-EAF,TUR,e_efs,Electricity,1851.0940992046835,38.5,0.05,10.952875754516754,10.952875754516754,0.1183394810585007,e_efs :: Electricity,
DRI-EAF,TUR,energy_int,Hot Rolling,1851.0940992046835,2.5,0.05,9.861576286332593,9.861576286332593,0.10654862214265161,energy_int :: Hot Rolling,
DRI-EAF,TUR,energy_int,Nitrogen Production,1851.0940992046835,4.940640469,0.05,2.928752708777097,2.928752708777097,0.03164347733629993,energy_int :: Nitrogen Production,
DRI-EAF,TUR,e_efs,Coal,1851.0940992046835,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.014828800644012444,e_efs :: Coal,
DRI-EAF,TUR,energy_int,Burnt Lime Production,1851.0940992046835,6.609049917,0.05,1.0360633912437152,1.0360633912437152,0.011194065084955502,energy_int :: Burnt Lime Production,
DRI-EAF,TUR,energy_int,Pelletizing,1851.0940992046835,1.1,0.05,0.7286251567976478,0.7286251567976478,0.007872372961598217,energy_int :: Pelletizing,
DRI-EAF,TUR,energy_int,Oxygen Production,1851.0940992046835,4.5,0.05,0.5824772056494112,0.5824772056494112,0.006293328965822652,energy_int :: Oxygen Production,
DRI-EAF,TUR,energy_int,Dolomite Production,1851.0940992046835,6.609049917,0.05,0.2908419193379359,0.2908419193379359,0.003142378547507608,energy_int :: Dolomite Production,
DRI-EAF,TUR,p_efs,Direct Reduction Iron,1851.0940992046835,1.929732488,0.05,0.09648662440008593,0.09648662440008593,0.0010424821130545561,p_efs :: Direct Reduction Iron,
DRI-EAF,TUR,p_efs,Electric Arc Furnace,1851.0940992046835,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0007174705232808368,p_efs :: Electric Arc Furnace,
DRI-EAF,TUR,p_efs,Sintering,1851.0940992046835,0.4197238619,0.05,0.029338452500041967,0.029338452500041967,0.0003169849929579176,p_efs :: Sintering,
DRI-EAF,TUR,p_efs,Hot Rolling,1851.0940992046835,0.2784805367,0.05,0.013924026835070437,0.013924026835070437,0.00015044104825414167,p_efs :: Hot Rolling,
DRI-EAF,TUR,p_efs,Natural gas from Market,1851.0940992046835,0.8244897959,0.05,0.008582912264387232,0.008582912264387232,9.2733397703281e-05,p_efs :: Natural gas from Market,
DRI-EAF,TUR,p_efs,Burnt Lime Production,1851.0940992046835,1.159317011,0.05,0.0024778943488854566,0.0024778943488854566,2.6772213794534546e-05,p_efs :: Burnt Lime Production,
DRI-EAF,TUR,p_efs,Coal from Market,1851.0940992046835,0.5236088979,0.05,0.0024404196345813034,0.0024404196345813034,2.6367321203496045e-05,p_efs :: Coal from Market,
DRI-EAF,TUR,p_efs,Pelletizing,1851.0940992046835,0.08915412303,0.05,0.00077897763310375,0.00077897763310375,8.416402315132821e-06,p_efs :: Pelletizing,
DRI-EAF,TUR,p_efs,Iron Ore from Market,1851.0940992046835,0.00889,0.05,0.00072276422770301,0.00072276422770301,7.80904901607696e-06,p_efs :: Iron Ore from Market,
DRI-EAF,TUR,energy_int,Coke Production,1851.0940992046835,6.54,0.05,-0.0004339187906907682,0.0004339187906907682,-4.688241304180052e-06,energy_int :: Coke Production,
DRI-EAF,TUR,p_efs,Dolomite Production,1851.0940992046835,0.08943387259,0.05,5.366032348774752e-05,5.366032348774752e-05,5.7976872716306e-07,p_efs :: Dolomite Production,
