route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
DRI-EAF,USA,e_efs,Gas,1868.1066179091022,72.72788705,0.05,46.88258896201455,46.88258896201455,0.5019262660124654,e_efs :: Gas,
DRI-EAF,USA,energy_int,Direct Reduction Iron,1868.1066179091022,10.0,0.05,37.37835141407345,37.37835141407345,0.4001736416512411,energy_int :: Direct Reduction Iron,
DRI-EAF,USA,energy_int,Electric Arc Furnace,1868.1066179091022,4.0,0.05,19.898327171022174,19.898327171022174,0.21303202911719873,energy_int :: Electric Arc Furnace,
DRI-EAF,USA,energy_int,Sintering,1868.1066179091022,2.0,0.05,18.045125453228366,18.045125453228366,0.1931916013811413,energy_int :: Sintering,
DRI-EAF,USA,e_efs,Coke,1868.1066179091022,135.8112848,0.05,14.619419256920537,14.619419256920537,0.1565158981480776,e_efs :: Coke,
DRI-EAF,USA,e_efs,Electricity,1868.1066179091022,38.5,0.05,10.952875754516754,10.952875754516754,0.11726178419918959,e_efs :: Electricity,
DRI-EAF,USA,energy_int,Hot Rolling,1868.1066179091022,2.5,0.05,9.936325788505428,9.936325788505428,0.1063785727564818,energy_int :: Hot Rolling,
DRI-EAF,USA,energy_int,Nitrogen Production,1868.1066179091022,4.940640469,0.05,3.0133184755950424,3.0133184755950424,0.03226066913640861,energy_int :: Nitrogen Production,
DRI-EAF,USA,e_efs,Coal,1868.1066179091022,111.9508768,0.05,1.3724752685207022,1.3724752685207022,0.014693757362273675,e_efs :: Coal,
DRI-EAF,USA,energy_int,Burnt Lime Production,1868.1066179091022,6.609049917,0.05,1.0369081212094216,1.0369081212094216,0.011101166403125232,energy_int :: Burnt Lime Production,
DRI-EAF,USA,energy_int,Pelletizing,1868.1066179091022,1.1,0.05,0.731498877367585,0.731498877367585,0.007831446774556399,energy_int :: Pelletizing,
DRI-EAF,USA,energy_int,Oxygen Production,1868.1066179091022,4.5,0.05,0.5992958436403342,0.5992958436403342,0.006416077518221121,energy_int :: Oxygen Production,
DRI-EAF,USA,energy_int,Dolomite Production,1868.1066179091022,6.609049917,0.05,0.29107905046998894,0.29107905046998894,0.003116300190572444,energy_int :: Dolomite Production,
DRI-EAF,USA,p_efs,Direct Reduction Iron,1868.1066179091022,1.929732488,0.05,0.09648662439997224,0.09648662439997224,0.0010329884116353691,p_efs :: Direct Reduction Iron,
DRI-EAF,USA,p_efs,Electric Arc Furnace,1868.1066179091022,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0007109366452996936,p_efs :: Electric Arc Furnace,
DRI-EAF,USA,p_efs,Sintering,1868.1066179091022,0.4197238619,0.05,0.029338452500155654,0.029338452500155654,0.00031409826632907095,p_efs :: Sintering,
DRI-EAF,USA,p_efs,Hot Rolling,1868.1066179091022,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.00014907100806207046,p_efs :: Hot Rolling,
DRI-EAF,USA,p_efs,Natural gas from Market,1868.1066179091022,0.8244897959,0.05,0.008582912264387232,0.008582912264387232,9.188889094556868e-05,p_efs :: Natural gas from Market,
DRI-EAF,USA,p_efs,Burnt Lime Production,1868.1066179091022,1.159317011,0.05,0.0024778943488854566,0.0024778943488854566,2.6528403947938105e-05,p_efs :: Burnt Lime Production,
DRI-EAF,USA,p_efs,Coal from Market,1868.1066179091022,0.5236088979,0.05,0.0024404196345813034,0.0024404196345813034,2.612719864257821e-05,p_efs :: Coal from Market,
DRI-EAF,USA,p_efs,Pelletizing,1868.1066179091022,0.08915412303,0.05,0.0007789776329900633,0.0007789776329900633,8.339755616967324e-06,p_efs :: Pelletizing,
DRI-EAF,USA,p_efs,Iron Ore from Market,1868.1066179091022,0.00889,0.05,0.00072276422770301,0.00072276422770301,7.73793337889859e-06,p_efs :: Iron Ore from Market,
DRI-EAF,USA,energy_int,Coke Production,1868.1066179091022,6.54,0.05,-0.0004281708164626252,0.0004281708164626252,-4.584008346824014e-06,energy_int :: Coke Production,
DRI-EAF,USA,p_efs,Dolomite Production,1868.1066179091022,0.08943387259,0.05,5.366032348774752e-05,5.366032348774752e-05,5.744888752421144e-07,p_efs :: Dolomite Production,
DRI-EAF,USA,p_efs,Limestone from Market,1868.1066179091022,0.002744187323,0.05,4.204255105832999e-05,4.204255105832999e-05,4.5010868925015165e-07,p_efs :: Limestone from Market,
DRI-EAF,USA,params,params.process_gas_coke,1868.1066179091022,0.085,0.05,-3.955902298002911e-05,3.955902298002911e-05,-4.235199704426503e-07,params :: params.process_gas_coke,
DRI-EAF,USA,e_efs,FLF,1868.1066179091022,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
DRI-EAF,USA,e_efs,RLF,1868.1066179091022,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
DRI-EAF,USA,e_efs,Wood,1868.1066179091022,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
DRI-EAF,USA,e_efs,Charcoal,1868.1066179091022,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
DRI-EAF,USA,p_efs,Coke Production,1868.1066179091022,0.8677011976,0.05,0.0,0.0,0.0,p_efs :: Coke Production,
DRI-EAF,USA,params,params.iron_content_pig_iron,1868.1066179091022,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
DRI-EAF,USA,params,params.feo3_sinter,1868.1066179091022,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
DRI-EAF,USA,params,params.feo3_lump,1868.1066179091022,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
DRI-EAF,USA,params,params.feo3_pellet,1868.1066179091022,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
DRI-EAF,USA,params,params.blend.sinter,1868.1066179091022,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
DRI-EAF,USA,params,params.blend.pellet,1868.1066179091022,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
DRI-EAF,USA,params,params.blend.lump,1868.1066179091022,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
DRI-EAF,USA,params,params.process_gas,1868.1066179091022,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
