route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,BRA,e_efs,Gas,371.3847265627456,72.72788705,0.05,12.03022443634643,12.03022443634643,0.6478577914438772,e_efs :: Gas,
EAF-Scrap,BRA,e_efs,Electricity,371.3847265627456,38.5,0.05,8.668803153527875,8.668803153527875,0.46683681549102574,e_efs :: Electricity,
EAF-Scrap,BRA,energy_int,Hot Rolling,371.3847265627456,2.5,0.05,7.989538704999973,7.989538704999973,0.4302567194372835,energy_int :: Hot Rolling,
EAF-Scrap,BRA,energy_int,Electric Arc Furnace,371.3847265627456,4.0,0.05,7.906118578399997,7.906118578399997,0.4257643361682111,energy_int :: Electric Arc Furnace,
EAF-Scrap,BRA,energy_int,Burnt Lime Production,371.3847265627456,6.609049917,0.05,0.9734191717715817,0.9734191717715817,0.052421066465538776,energy_int :: Burnt Lime Production,
EAF-Scrap,BRA,energy_int,Nitrogen Production,371.3847265627456,4.940640469,0.05,0.8003121166912024,0.8003121166912024,0.043098816911415955,energy_int :: Nitrogen Production,
EAF-Scrap,BRA,energy_int,Dolomite Production,371.3847265627456,6.609049917,0.05,0.2849031722258246,0.2849031722258246,0.015342751160645275,energy_int :: Dolomite Production,
EAF-Scrap,BRA,energy_int,Oxygen Production,371.3847265627456,4.5,0.05,0.16126874999997654,0.16126874999997654,0.008684727101868586,energy_int :: Oxygen Production,
EAF-Scrap,BRA,p_efs,Electric Arc Furnace,371.3847265627456,1.328105452,0.05,0.06640527260000795,0.06640527260000795,0.003576090660195136,p_efs :: Electric Arc Furnace,
EAF-Scrap,BRA,p_efs,Hot Rolling,371.3847265627456,0.2784805367,0.05,0.01392402683498517,0.01392402683498517,0.0007498438055789406,p_efs :: Hot Rolling,
EAF-Scrap,BRA,p_efs,Burnt Lime Production,371.3847265627456,1.159317011,0.05,0.002376599872548013,0.002376599872548013,0.00012798587031534724,p_efs :: Burnt Lime Production,
EAF-Scrap,BRA,p_efs,Natural gas from Market,371.3847265627456,0.8244897959,0.05,0.0007953277774106482,0.0007953277774106482,4.283039772645455e-05,p_efs :: Natural gas from Market,
EAF-Scrap,BRA,p_efs,Dolomite Production,371.3847265627456,0.08943387259,0.05,5.366032354459094e-05,5.366032354459094e-05,2.889743153480223e-06,p_efs :: Dolomite Production,
EAF-Scrap,BRA,p_efs,Limestone from Market,371.3847265627456,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,7.109329814146168e-07,p_efs :: Limestone from Market,
EAF-Scrap,BRA,e_efs,RLF,371.3847265627456,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,BRA,e_efs,Coal,371.3847265627456,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,BRA,e_efs,Coke,371.3847265627456,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,BRA,e_efs,Charcoal,371.3847265627456,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,BRA,e_efs,FLF,371.3847265627456,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,BRA,e_efs,Wood,371.3847265627456,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,BRA,params,params.iron_content_pig_iron,371.3847265627456,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,BRA,params,params.feo3_sinter,371.3847265627456,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,BRA,params,params.feo3_pellet,371.3847265627456,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,BRA,params,params.feo3_lump,371.3847265627456,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,BRA,params,params.blend.sinter,371.3847265627456,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,BRA,params,params.blend.pellet,371.3847265627456,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,BRA,params,params.blend.lump,371.3847265627456,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,BRA,params,params.process_gas,371.3847265627456,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,BRA,params,params.process_gas_coke,371.3847265627456,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
