route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,CHN,energy_int,Electric Arc Furnace,942.2197851295984,4.0,0.05,27.427158578400054,27.427158578400054,0.5821817586780469,energy_int :: Electric Arc Furnace,
EAF-Scrap,CHN,e_efs,Gas,942.2197851295984,72.72788705,0.05,12.03022443634643,12.03022443634643,0.2553591980599669,e_efs :: Gas,
EAF-Scrap,CHN,energy_int,Hot Rolling,942.2197851295984,2.5,0.05,11.158538704999955,11.158538704999955,0.23685638703638864,energy_int :: Hot Rolling,
EAF-Scrap,CHN,e_efs,Electricity,942.2197851295984,38.5,0.05,8.668803153527875,8.668803153527875,0.18400809005163307,e_efs :: Electricity,
EAF-Scrap,CHN,energy_int,Nitrogen Production,942.2197851295984,4.940640469,0.05,4.3387691767462115,4.3387691767462115,0.09209675375580087,energy_int :: Nitrogen Production,
EAF-Scrap,CHN,energy_int,Burnt Lime Production,942.2197851295984,6.609049917,0.05,1.0077674616381955,1.0077674616381955,0.021391345788808313,energy_int :: Burnt Lime Production,
EAF-Scrap,CHN,energy_int,Oxygen Production,942.2197851295984,4.5,0.05,0.8742937499999925,0.8742937499999925,0.01855817005327981,energy_int :: Oxygen Production,
EAF-Scrap,CHN,energy_int,Dolomite Production,942.2197851295984,6.609049917,0.05,0.29495633023555,0.29495633023555,0.006260881694284948,energy_int :: Dolomite Production,
EAF-Scrap,CHN,p_efs,Electric Arc Furnace,942.2197851295984,1.328105452,0.05,0.06640527259997953,0.06640527259997953,0.0014095495265119221,p_efs :: Electric Arc Furnace,
EAF-Scrap,CHN,p_efs,Hot Rolling,942.2197851295984,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.0002955579378550527,p_efs :: Hot Rolling,
EAF-Scrap,CHN,p_efs,Burnt Lime Production,942.2197851295984,1.159317011,0.05,0.002376599872548013,0.002376599872548013,5.0446825890439586e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,CHN,p_efs,Natural gas from Market,942.2197851295984,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,1.688200120469413e-05,p_efs :: Natural gas from Market,
EAF-Scrap,CHN,p_efs,Dolomite Production,942.2197851295984,0.08943387259,0.05,5.366032354459094e-05,5.366032354459094e-05,1.1390192477694613e-06,p_efs :: Dolomite Production,
EAF-Scrap,CHN,p_efs,Limestone from Market,942.2197851295984,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,2.802208731700415e-07,p_efs :: Limestone from Market,
EAF-Scrap,CHN,e_efs,RLF,942.2197851295984,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,CHN,e_efs,Coal,942.2197851295984,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,CHN,e_efs,Coke,942.2197851295984,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,CHN,e_efs,Charcoal,942.2197851295984,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,CHN,e_efs,FLF,942.2197851295984,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,CHN,e_efs,Wood,942.2197851295984,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,CHN,params,params.iron_content_pig_iron,942.2197851295984,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,CHN,params,params.feo3_sinter,942.2197851295984,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,CHN,params,params.feo3_pellet,942.2197851295984,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,CHN,params,params.feo3_lump,942.2197851295984,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,CHN,params,params.blend.sinter,942.2197851295984,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,CHN,params,params.blend.pellet,942.2197851295984,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,CHN,params,params.blend.lump,942.2197851295984,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,CHN,params,params.process_gas,942.2197851295984,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,CHN,params,params.process_gas_coke,942.2197851295984,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
