route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,DEU,energy_int,Electric Arc Furnace,672.7438470999323,4.0,0.05,18.211798578400078,18.211798578400078,0.5414185103857165,energy_int :: Electric Arc Furnace,
EAF-Scrap,DEU,e_efs,Gas,672.7438470999323,72.72788705,0.05,12.030224436346487,12.030224436346487,0.35764650953573013,e_efs :: Gas,
EAF-Scrap,DEU,energy_int,Hot Rolling,672.7438470999323,2.5,0.05,9.662538704999974,9.662538704999974,0.2872575868706432,energy_int :: Hot Rolling,
EAF-Scrap,DEU,e_efs,Electricity,672.7438470999323,38.5,0.05,8.668803153527875,8.668803153527875,0.2577148253647327,e_efs :: Electricity,
EAF-Scrap,DEU,energy_int,Nitrogen Production,672.7438470999323,4.940640469,0.05,2.6683583967391655,2.6683583967391655,0.0793276195164605,energy_int :: Nitrogen Production,
EAF-Scrap,DEU,energy_int,Burnt Lime Production,672.7438470999323,6.609049917,0.05,0.991552554209818,0.991552554209818,0.029477863186239697,energy_int :: Burnt Lime Production,
EAF-Scrap,DEU,energy_int,Oxygen Production,672.7438470999323,4.5,0.05,0.5376937500000167,0.5376937500000167,0.015985096030767424,energy_int :: Oxygen Production,
EAF-Scrap,DEU,energy_int,Dolomite Production,672.7438470999323,6.609049917,0.05,0.29021050367117596,0.29021050367117596,0.008627667274021663,energy_int :: Dolomite Production,
EAF-Scrap,DEU,p_efs,Electric Arc Furnace,672.7438470999323,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.001974162168447815,p_efs :: Electric Arc Furnace,
EAF-Scrap,DEU,p_efs,Hot Rolling,672.7438470999323,0.2784805367,0.05,0.013924026835013592,0.013924026835013592,0.0004139473558929557,p_efs :: Hot Rolling,
EAF-Scrap,DEU,p_efs,Burnt Lime Production,672.7438470999323,1.159317011,0.05,0.002376599872548013,0.002376599872548013,7.065393114461239e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,DEU,p_efs,Natural gas from Market,672.7438470999323,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,2.3644297329830054e-05,p_efs :: Natural gas from Market,
EAF-Scrap,DEU,p_efs,Dolomite Production,672.7438470999323,0.08943387259,0.05,5.366032354459094e-05,5.366032354459094e-05,1.5952676126555491e-06,p_efs :: Dolomite Production,
EAF-Scrap,DEU,p_efs,Limestone from Market,672.7438470999323,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.924668386716361e-07,p_efs :: Limestone from Market,
EAF-Scrap,DEU,e_efs,RLF,672.7438470999323,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,DEU,e_efs,Coal,672.7438470999323,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,DEU,e_efs,Coke,672.7438470999323,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,DEU,e_efs,Charcoal,672.7438470999323,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,DEU,e_efs,FLF,672.7438470999323,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,DEU,e_efs,Wood,672.7438470999323,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,DEU,params,params.iron_content_pig_iron,672.7438470999323,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,DEU,params,params.feo3_sinter,672.7438470999323,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,DEU,params,params.feo3_pellet,672.7438470999323,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,DEU,params,params.feo3_lump,672.7438470999323,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,DEU,params,params.blend.sinter,672.7438470999323,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,DEU,params,params.blend.pellet,672.7438470999323,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,DEU,params,params.blend.lump,672.7438470999323,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,DEU,params,params.process_gas,672.7438470999323,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,DEU,params,params.process_gas_coke,672.7438470999323,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
