route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,IND,energy_int,Electric Arc Furnace,1128.3401146544331,4.0,0.05,33.79197857840006,33.79197857840006,0.5989679554865288,energy_int :: Electric Arc Furnace,
EAF-Scrap,IND,energy_int,Hot Rolling,1128.3401146544331,2.5,0.05,12.191788704999908,12.191788704999908,0.21610130751637383,energy_int :: Hot Rolling,
EAF-Scrap,IND,e_efs,Gas,1128.3401146544331,72.72788705,0.05,12.03022443634643,12.03022443634643,0.21323755630244204,e_efs :: Gas,
EAF-Scrap,IND,e_efs,Electricity,1128.3401146544331,38.5,0.05,8.668803153527875,8.668803153527875,0.15365585324745445,e_efs :: Electricity,
EAF-Scrap,IND,energy_int,Nitrogen Production,1128.3401146544331,4.940640469,0.05,5.492480365544452,5.492480365544452,0.09735504914183762,energy_int :: Nitrogen Production,
EAF-Scrap,IND,energy_int,Oxygen Production,1128.3401146544331,4.5,0.05,1.1067749999999705,1.1067749999999705,0.0196177550656157,energy_int :: Oxygen Production,
EAF-Scrap,IND,energy_int,Burnt Lime Production,1128.3401146544331,6.609049917,0.05,1.018966694993992,1.018966694993992,0.0180613395156311,energy_int :: Burnt Lime Production,
EAF-Scrap,IND,energy_int,Dolomite Production,1128.3401146544331,6.609049917,0.05,0.29823415463238234,0.29823415463238234,0.005286245711891931,energy_int :: Dolomite Production,
EAF-Scrap,IND,p_efs,Electric Arc Furnace,1128.3401146544331,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.001177043548086097,p_efs :: Electric Arc Furnace,
EAF-Scrap,IND,p_efs,Hot Rolling,1128.3401146544331,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.0002468054916087272,p_efs :: Hot Rolling,
EAF-Scrap,IND,p_efs,Burnt Lime Production,1128.3401146544331,1.159317011,0.05,0.0023765998726048565,0.0023765998726048565,4.2125593900961613e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,IND,p_efs,Natural gas from Market,1128.3401146544331,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,1.409730571576469e-05,p_efs :: Natural gas from Market,
EAF-Scrap,IND,p_efs,Dolomite Production,1128.3401146544331,0.08943387259,0.05,5.366032348774752e-05,5.366032348774752e-05,9.511373882897286e-07,p_efs :: Dolomite Production,
EAF-Scrap,IND,p_efs,Limestone from Market,1128.3401146544331,0.002744187323,0.05,1.3201482488511829e-05,1.3201482488511829e-05,2.3399828326683097e-07,p_efs :: Limestone from Market,
EAF-Scrap,IND,e_efs,RLF,1128.3401146544331,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,IND,e_efs,Coal,1128.3401146544331,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,IND,e_efs,Coke,1128.3401146544331,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,IND,e_efs,Charcoal,1128.3401146544331,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,IND,e_efs,FLF,1128.3401146544331,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,IND,e_efs,Wood,1128.3401146544331,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,IND,params,params.iron_content_pig_iron,1128.3401146544331,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,IND,params,params.feo3_sinter,1128.3401146544331,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,IND,params,params.feo3_pellet,1128.3401146544331,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,IND,params,params.feo3_lump,1128.3401146544331,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,IND,params,params.blend.sinter,1128.3401146544331,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,IND,params,params.blend.pellet,1128.3401146544331,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,IND,params,params.blend.lump,1128.3401146544331,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,IND,params,params.process_gas,1128.3401146544331,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,IND,params,params.process_gas_coke,1128.3401146544331,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
