route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,IRN,energy_int,Electric Arc Furnace,1045.344768098839,4.0,0.05,30.95375857840014,30.95375857840014,0.592221045592365,energy_int :: Electric Arc Furnace,
EAF-Scrap,IRN,e_efs,Gas,1045.344768098839,72.72788705,0.05,12.030224436346316,12.030224436346316,0.2301675926158907,e_efs :: Gas,
EAF-Scrap,IRN,energy_int,Hot Rolling,1045.344768098839,2.5,0.05,11.731038704999946,11.731038704999946,0.22444343843295073,energy_int :: Hot Rolling,
EAF-Scrap,IRN,e_efs,Electricity,1045.344768098839,38.5,0.05,8.668803153527875,8.668803153527875,0.16585538892194898,e_efs :: Electricity,
EAF-Scrap,IRN,energy_int,Nitrogen Production,1045.344768098839,4.940640469,0.05,4.978013943827818,4.978013943827818,0.09524157188601606,energy_int :: Nitrogen Production,
EAF-Scrap,IRN,energy_int,Burnt Lime Production,1045.344768098839,6.609049917,0.05,1.0139726986052437,1.0139726986052437,0.019399775644342653,energy_int :: Burnt Lime Production,
EAF-Scrap,IRN,energy_int,Oxygen Production,1045.344768098839,4.5,0.05,1.0031062499999734,1.0031062499999734,0.019191873927380258,energy_int :: Oxygen Production,
EAF-Scrap,IRN,energy_int,Dolomite Production,1045.344768098839,6.609049917,0.05,0.2967724971526877,0.2967724971526877,0.005677983115416088,energy_int :: Dolomite Production,
EAF-Scrap,IRN,p_efs,Electric Arc Furnace,1045.344768098839,1.328105452,0.05,0.06640527259992268,0.06640527259992268,0.0012704951443090584,p_efs :: Electric Arc Furnace,
EAF-Scrap,IRN,p_efs,Hot Rolling,1045.344768098839,0.2784805367,0.05,0.013924026835070437,0.013924026835070437,0.00026640066052837215,p_efs :: Hot Rolling,
EAF-Scrap,IRN,p_efs,Burnt Lime Production,1045.344768098839,1.159317011,0.05,0.0023765998724911697,0.0023765998724911697,4.547016343351437e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,IRN,p_efs,Natural gas from Market,1045.344768098839,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,1.5216563982592715e-05,p_efs :: Natural gas from Market,
EAF-Scrap,IRN,p_efs,Dolomite Production,1045.344768098839,0.08943387259,0.05,5.3660323601434357e-05,5.3660323601434357e-05,1.0266531241941546e-06,p_efs :: Dolomite Production,
EAF-Scrap,IRN,p_efs,Limestone from Market,1045.344768098839,0.002744187323,0.05,1.3201482488511829e-05,1.3201482488511829e-05,2.5257662144368446e-07,p_efs :: Limestone from Market,
EAF-Scrap,IRN,e_efs,RLF,1045.344768098839,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,IRN,e_efs,Coal,1045.344768098839,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,IRN,e_efs,Coke,1045.344768098839,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,IRN,e_efs,Charcoal,1045.344768098839,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,IRN,e_efs,FLF,1045.344768098839,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,IRN,e_efs,Wood,1045.344768098839,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,IRN,params,params.iron_content_pig_iron,1045.344768098839,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,IRN,params,params.feo3_sinter,1045.344768098839,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,IRN,params,params.feo3_pellet,1045.344768098839,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,IRN,params,params.feo3_lump,1045.344768098839,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,IRN,params,params.blend.sinter,1045.344768098839,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,IRN,params,params.blend.pellet,1045.344768098839,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,IRN,params,params.blend.lump,1045.344768098839,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,IRN,params,params.process_gas,1045.344768098839,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,IRN,params,params.process_gas_coke,1045.344768098839,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
