route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,JPN,energy_int,Electric Arc Furnace,845.6245499902881,4.0,0.05,24.123858578400018,24.123858578400018,0.5705571953576106,energy_int :: Electric Arc Furnace,
EAF-Scrap,JPN,e_efs,Gas,845.6245499902881,72.72788705,0.05,12.03022443634643,12.03022443634643,0.28452874118861843,e_efs :: Gas,
EAF-Scrap,JPN,energy_int,Hot Rolling,845.6245499902881,2.5,0.05,10.622288705000017,10.622288705000017,0.25122943048713553,energy_int :: Hot Rolling,
EAF-Scrap,JPN,e_efs,Electricity,845.6245499902881,38.5,0.05,8.668803153527875,8.668803153527875,0.2050272346900864,e_efs :: Electricity,
EAF-Scrap,JPN,energy_int,Nitrogen Production,845.6245499902881,4.940640469,0.05,3.7400006067069285,3.7400006067069285,0.08845534597475634,energy_int :: Nitrogen Production,
EAF-Scrap,JPN,energy_int,Burnt Lime Production,845.6245499902881,6.609049917,0.05,1.0019551326886926,1.0019551326886926,0.02369739934111894,energy_int :: Burnt Lime Production,
EAF-Scrap,JPN,energy_int,Oxygen Production,845.6245499902881,4.5,0.05,0.7536375000000248,0.7536375000000248,0.017824399729375887,energy_int :: Oxygen Production,
EAF-Scrap,JPN,energy_int,Dolomite Production,845.6245499902881,6.609049917,0.05,0.2932551607868845,0.2932551607868845,0.006935824197399485,energy_int :: Dolomite Production,
EAF-Scrap,JPN,p_efs,Electric Arc Furnace,845.6245499902881,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.0015705616068218224,p_efs :: Electric Arc Furnace,
EAF-Scrap,JPN,p_efs,Hot Rolling,845.6245499902881,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.000329319361296137,p_efs :: Hot Rolling,
EAF-Scrap,JPN,p_efs,Burnt Lime Production,845.6245499902881,1.159317011,0.05,0.002376599872548013,0.002376599872548013,5.620933953668463e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,JPN,p_efs,Natural gas from Market,845.6245499902881,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,1.8810423074669737e-05,p_efs :: Natural gas from Market,
EAF-Scrap,JPN,p_efs,Dolomite Production,845.6245499902881,0.08943387259,0.05,5.3660323601434357e-05,5.3660323601434357e-05,1.269128801950006e-06,p_efs :: Dolomite Production,
EAF-Scrap,JPN,p_efs,Limestone from Market,845.6245499902881,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.122303520044887e-07,p_efs :: Limestone from Market,
EAF-Scrap,JPN,e_efs,RLF,845.6245499902881,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,JPN,e_efs,Coal,845.6245499902881,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,JPN,e_efs,Coke,845.6245499902881,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,JPN,e_efs,Charcoal,845.6245499902881,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,JPN,e_efs,FLF,845.6245499902881,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,JPN,e_efs,Wood,845.6245499902881,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,JPN,params,params.iron_content_pig_iron,845.6245499902881,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,JPN,params,params.feo3_sinter,845.6245499902881,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,JPN,params,params.feo3_pellet,845.6245499902881,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,JPN,params,params.feo3_lump,845.6245499902881,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,JPN,params,params.blend.sinter,845.6245499902881,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,JPN,params,params.blend.pellet,845.6245499902881,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,JPN,params,params.blend.lump,845.6245499902881,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,JPN,params,params.process_gas,845.6245499902881,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,JPN,params,params.process_gas_coke,845.6245499902881,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
