route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,KOR,energy_int,Electric Arc Furnace,760.5126644829235,4.0,0.05,21.21325857840003,21.21325857840003,0.5578673326320748,energy_int :: Electric Arc Furnace,
EAF-Scrap,KOR,e_efs,Gas,760.5126644829235,72.72788705,0.05,12.030224436346487,12.030224436346487,0.31637144253280514,e_efs :: Gas,
EAF-Scrap,KOR,energy_int,Hot Rolling,760.5126644829235,2.5,0.05,10.149788705000049,10.149788705000049,0.266919649836494,energy_int :: Hot Rolling,
EAF-Scrap,KOR,e_efs,Electricity,760.5126644829235,38.5,0.05,8.668803153527875,8.668803153527875,0.22797261790299944,e_efs :: Electricity,
EAF-Scrap,KOR,energy_int,Nitrogen Production,760.5126644829235,4.940640469,0.05,3.212414314224702,3.212414314224702,0.08448023193430551,energy_int :: Nitrogen Production,
EAF-Scrap,KOR,energy_int,Burnt Lime Production,760.5126644829235,6.609049917,0.05,0.9968337799080018,0.9968337799080018,0.026214784485824556,energy_int :: Burnt Lime Production,
EAF-Scrap,KOR,energy_int,Oxygen Production,760.5126644829235,4.5,0.05,0.6473250000000235,0.6473250000000235,0.01702338515138714,energy_int :: Oxygen Production,
EAF-Scrap,KOR,energy_int,Dolomite Production,760.5126644829235,6.609049917,0.05,0.29175622826579684,0.29175622826579684,0.007672619849510683,energy_int :: Dolomite Production,
EAF-Scrap,KOR,p_efs,Electric Arc Furnace,760.5126644829235,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.001746329172445423,p_efs :: Electric Arc Furnace,
EAF-Scrap,KOR,p_efs,Hot Rolling,760.5126644829235,0.2784805367,0.05,0.013924026835013592,0.013924026835013592,0.0003661747525133092,p_efs :: Hot Rolling,
EAF-Scrap,KOR,p_efs,Burnt Lime Production,760.5126644829235,1.159317011,0.05,0.002376599872548013,0.002376599872548013,6.24999420401204e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,KOR,p_efs,Natural gas from Market,760.5126644829235,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,2.0915569576292956e-05,p_efs :: Natural gas from Market,
EAF-Scrap,KOR,p_efs,Dolomite Production,760.5126644829235,0.08943387259,0.05,5.366032354459094e-05,5.366032354459094e-05,1.41116186621494e-06,p_efs :: Dolomite Production,
EAF-Scrap,KOR,p_efs,Limestone from Market,760.5126644829235,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.471732467290602e-07,p_efs :: Limestone from Market,
EAF-Scrap,KOR,e_efs,RLF,760.5126644829235,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,KOR,e_efs,Coal,760.5126644829235,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,KOR,e_efs,Coke,760.5126644829235,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,KOR,e_efs,Charcoal,760.5126644829235,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,KOR,e_efs,FLF,760.5126644829235,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,KOR,e_efs,Wood,760.5126644829235,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,KOR,params,params.iron_content_pig_iron,760.5126644829235,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,KOR,params,params.feo3_sinter,760.5126644829235,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,KOR,params,params.feo3_pellet,760.5126644829235,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,KOR,params,params.feo3_lump,760.5126644829235,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,KOR,params,params.blend.sinter,760.5126644829235,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,KOR,params,params.blend.pellet,760.5126644829235,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,KOR,params,params.blend.lump,760.5126644829235,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,KOR,params,params.process_gas,760.5126644829235,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,KOR,params,params.process_gas_coke,760.5126644829235,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
