route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,RUS,energy_int,Electric Arc Furnace,804.1944258279731,4.0,0.05,22.70705857840005,22.70705857840005,0.5647156421165587,energy_int :: Electric Arc Furnace,
EAF-Scrap,RUS,e_efs,Gas,804.1944258279731,72.72788705,0.05,12.030224436346487,12.030224436346487,0.29918696399718386,e_efs :: Gas,
EAF-Scrap,RUS,energy_int,Hot Rolling,804.1944258279731,2.5,0.05,10.392288704999999,10.392288704999999,0.25845214468629096,energy_int :: Hot Rolling,
EAF-Scrap,RUS,e_efs,Electricity,804.1944258279731,38.5,0.05,8.668803153527875,8.668803153527875,0.21558973489782027,e_efs :: Electricity,
EAF-Scrap,RUS,energy_int,Nitrogen Production,804.1944258279731,4.940640469,0.05,3.483186115128319,3.483186115128319,0.08662547272799463,energy_int :: Nitrogen Production,
EAF-Scrap,RUS,energy_int,Burnt Lime Production,804.1944258279731,6.609049917,0.05,0.9994621990600194,0.9994621990600194,0.02485623294468884,energy_int :: Burnt Lime Production,
EAF-Scrap,RUS,energy_int,Oxygen Production,804.1944258279731,4.5,0.05,0.701887499999998,0.701887499999998,0.01745566687501861,energy_int :: Oxygen Production,
EAF-Scrap,RUS,energy_int,Dolomite Production,804.1944258279731,6.609049917,0.05,0.29252552167611157,0.29252552167611157,0.007274995008201818,energy_int :: Dolomite Production,
EAF-Scrap,RUS,p_efs,Electric Arc Furnace,804.1944258279731,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.0016514730882812973,p_efs :: Electric Arc Furnace,
EAF-Scrap,RUS,p_efs,Hot Rolling,804.1944258279731,0.2784805367,0.05,0.013924026835013592,0.013924026835013592,0.0003462850869844778,p_efs :: Hot Rolling,
EAF-Scrap,RUS,p_efs,Burnt Lime Production,804.1944258279731,1.159317011,0.05,0.002376599872548013,0.002376599872548013,5.910510683038224e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,RUS,p_efs,Natural gas from Market,804.1944258279731,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,1.977948993027108e-05,p_efs :: Natural gas from Market,
EAF-Scrap,RUS,p_efs,Dolomite Production,804.1944258279731,0.08943387259,0.05,5.366032354459094e-05,5.366032354459094e-05,1.3345112032912681e-06,p_efs :: Dolomite Production,
EAF-Scrap,RUS,p_efs,Limestone from Market,804.1944258279731,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.2831569385135743e-07,p_efs :: Limestone from Market,
EAF-Scrap,RUS,e_efs,RLF,804.1944258279731,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,RUS,e_efs,Coal,804.1944258279731,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,RUS,e_efs,Coke,804.1944258279731,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,RUS,e_efs,Charcoal,804.1944258279731,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,RUS,e_efs,FLF,804.1944258279731,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,RUS,e_efs,Wood,804.1944258279731,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,RUS,params,params.iron_content_pig_iron,804.1944258279731,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,RUS,params,params.feo3_sinter,804.1944258279731,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,RUS,params,params.feo3_pellet,804.1944258279731,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,RUS,params,params.feo3_lump,804.1944258279731,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,RUS,params,params.blend.sinter,804.1944258279731,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,RUS,params,params.blend.pellet,804.1944258279731,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,RUS,params,params.blend.lump,804.1944258279731,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,RUS,params,params.process_gas,804.1944258279731,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,RUS,params,params.process_gas_coke,804.1944258279731,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
