route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,TUR,energy_int,Electric Arc Furnace,708.5899110490658,4.0,0.05,19.437638578400026,19.437638578400026,0.5486287138811402,energy_int :: Electric Arc Furnace,
EAF-Scrap,TUR,e_efs,Gas,708.5899110490658,72.72788705,0.05,12.03022443634643,12.03022443634643,0.33955392953692237,e_efs :: Gas,
EAF-Scrap,TUR,energy_int,Hot Rolling,708.5899110490658,2.5,0.05,9.861538705000044,9.861538705000044,0.27834262247397956,energy_int :: Hot Rolling,
EAF-Scrap,TUR,e_efs,Electricity,708.5899110490658,38.5,0.05,8.668803153527875,8.668803153527875,0.2446775777739689,e_efs :: Electricity,
EAF-Scrap,TUR,energy_int,Nitrogen Production,708.5899110490658,4.940640469,0.05,2.8905587611919827,2.8905587611919827,0.08158622402378032,energy_int :: Nitrogen Production,
EAF-Scrap,TUR,energy_int,Burnt Lime Production,708.5899110490658,6.609049917,0.05,0.9937094837407017,0.9937094837407017,0.028047519961708657,energy_int :: Burnt Lime Production,
EAF-Scrap,TUR,energy_int,Oxygen Production,708.5899110490658,4.5,0.05,0.5824687499999754,0.5824687499999754,0.016440221372546266,energy_int :: Oxygen Production,
EAF-Scrap,TUR,energy_int,Dolomite Production,708.5899110490658,6.609049917,0.05,0.29084180011921035,0.29084180011921035,0.008209030232694668,energy_int :: Dolomite Production,
EAF-Scrap,TUR,p_efs,Electric Arc Furnace,708.5899110490658,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.0018742934824381992,p_efs :: Electric Arc Furnace,
EAF-Scrap,TUR,p_efs,Hot Rolling,708.5899110490658,0.2784805367,0.05,0.013924026835013592,0.013924026835013592,0.0003930066352313456,p_efs :: Hot Rolling,
EAF-Scrap,TUR,p_efs,Burnt Lime Production,708.5899110490658,1.159317011,0.05,0.002376599872548013,0.002376599872548013,6.707969829910396e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,TUR,p_efs,Natural gas from Market,708.5899110490658,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,2.2448182368409544e-05,p_efs :: Natural gas from Market,
EAF-Scrap,TUR,p_efs,Dolomite Production,708.5899110490658,0.08943387259,0.05,5.3660323601434357e-05,5.3660323601434357e-05,1.5145664019401679e-06,p_efs :: Dolomite Production,
EAF-Scrap,TUR,p_efs,Limestone from Market,708.5899110490658,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.726127719151542e-07,p_efs :: Limestone from Market,
EAF-Scrap,TUR,e_efs,RLF,708.5899110490658,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,TUR,e_efs,Coal,708.5899110490658,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,TUR,e_efs,Coke,708.5899110490658,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,TUR,e_efs,Charcoal,708.5899110490658,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,TUR,e_efs,FLF,708.5899110490658,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,TUR,e_efs,Wood,708.5899110490658,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,TUR,params,params.iron_content_pig_iron,708.5899110490658,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,TUR,params,params.feo3_sinter,708.5899110490658,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,TUR,params,params.feo3_pellet,708.5899110490658,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,TUR,params,params.feo3_lump,708.5899110490658,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,TUR,params,params.blend.sinter,708.5899110490658,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,TUR,params,params.blend.pellet,708.5899110490658,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,TUR,params,params.blend.lump,708.5899110490658,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,TUR,params,params.process_gas,708.5899110490658,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,TUR,params,params.process_gas_coke,708.5899110490658,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
