route,country,family,key,baseline_CO2e_kg,param_value,eps,delta_kg_at_eps,abs_delta_kg,elasticity,label,note
EAF-Scrap,USA,energy_int,Electric Arc Furnace,722.0547014018182,4.0,0.05,19.898098578400038,19.898098578400038,0.5511521091066726,energy_int :: Electric Arc Furnace,
EAF-Scrap,USA,e_efs,Gas,722.0547014018182,72.72788705,0.05,12.030224436346487,12.030224436346487,0.3332219681691887,e_efs :: Gas,
EAF-Scrap,USA,energy_int,Hot Rolling,722.0547014018182,2.5,0.05,9.936288704999981,9.936288704999981,0.2752226025454686,energy_int :: Hot Rolling,
EAF-Scrap,USA,e_efs,Electricity,722.0547014018182,38.5,0.05,8.668803153527875,8.668803153527875,0.24011485935062832,e_efs :: Electricity,
EAF-Scrap,USA,energy_int,Nitrogen Production,722.0547014018182,4.940640469,0.05,2.9740234709550464,2.9740234709550464,0.082376680469809,energy_int :: Nitrogen Production,
EAF-Scrap,USA,energy_int,Burnt Lime Production,722.0547014018182,6.609049917,0.05,0.9945196871700546,0.9945196871700546,0.027546934747167073,energy_int :: Burnt Lime Production,
EAF-Scrap,USA,energy_int,Oxygen Production,722.0547014018182,4.5,0.05,0.5992875000000026,0.5992875000000026,0.016599504132762472,energy_int :: Oxygen Production,
EAF-Scrap,USA,energy_int,Dolomite Production,722.0547014018182,6.609049917,0.05,0.2910789328302599,0.2910789328302599,0.008062517486975729,energy_int :: Dolomite Production,
EAF-Scrap,USA,p_efs,Electric Arc Furnace,722.0547014018182,1.328105452,0.05,0.06640527260003637,0.06640527260003637,0.00183934188008513,p_efs :: Electric Arc Furnace,
EAF-Scrap,USA,p_efs,Hot Rolling,722.0547014018182,0.2784805367,0.05,0.013924026834956749,0.013924026834956749,0.00038567789415190385,p_efs :: Hot Rolling,
EAF-Scrap,USA,p_efs,Burnt Lime Production,722.0547014018182,1.159317011,0.05,0.002376599872548013,0.002376599872548013,6.582880404861327e-05,p_efs :: Burnt Lime Production,
EAF-Scrap,USA,p_efs,Natural gas from Market,722.0547014018182,0.8244897959,0.05,0.0007953277773822265,0.0007953277773822265,2.2029571328547645e-05,p_efs :: Natural gas from Market,
EAF-Scrap,USA,p_efs,Dolomite Production,722.0547014018182,0.08943387259,0.05,5.3660323601434357e-05,5.3660323601434357e-05,1.4863229474790935e-06,p_efs :: Dolomite Production,
EAF-Scrap,USA,p_efs,Limestone from Market,722.0547014018182,0.002744187323,0.05,1.3201482545355248e-05,1.3201482545355248e-05,3.656643331793423e-07,p_efs :: Limestone from Market,
EAF-Scrap,USA,e_efs,RLF,722.0547014018182,23.58045034,0.05,0.0,0.0,0.0,e_efs :: RLF,
EAF-Scrap,USA,e_efs,Coal,722.0547014018182,111.9508768,0.05,0.0,0.0,0.0,e_efs :: Coal,
EAF-Scrap,USA,e_efs,Coke,722.0547014018182,135.8112848,0.05,0.0,0.0,0.0,e_efs :: Coke,
EAF-Scrap,USA,e_efs,Charcoal,722.0547014018182,20.43228169,0.05,0.0,0.0,0.0,e_efs :: Charcoal,
EAF-Scrap,USA,e_efs,FLF,722.0547014018182,94.11850817,0.05,0.0,0.0,0.0,e_efs :: FLF,
EAF-Scrap,USA,e_efs,Wood,722.0547014018182,9.823188667,0.05,0.0,0.0,0.0,e_efs :: Wood,
EAF-Scrap,USA,params,params.iron_content_pig_iron,722.0547014018182,0.615,0.05,0.0,0.0,0.0,params :: params.iron_content_pig_iron,
EAF-Scrap,USA,params,params.feo3_sinter,722.0547014018182,0.8,0.05,0.0,0.0,0.0,params :: params.feo3_sinter,
EAF-Scrap,USA,params,params.feo3_pellet,722.0547014018182,0.9,0.05,0.0,0.0,0.0,params :: params.feo3_pellet,
EAF-Scrap,USA,params,params.feo3_lump,722.0547014018182,0.879,0.05,0.0,0.0,0.0,params :: params.feo3_lump,
EAF-Scrap,USA,params,params.blend.sinter,722.0547014018182,0.8,0.05,0.0,0.0,0.0,params :: params.blend.sinter,
EAF-Scrap,USA,params,params.blend.pellet,722.0547014018182,0.1,0.05,0.0,0.0,0.0,params :: params.blend.pellet,
EAF-Scrap,USA,params,params.blend.lump,722.0547014018182,0.1,0.05,0.0,0.0,0.0,params :: params.blend.lump,
EAF-Scrap,USA,params,params.process_gas,722.0547014018182,0.275,0.05,0.0,0.0,0.0,params :: params.process_gas,
EAF-Scrap,USA,params,params.process_gas_coke,722.0547014018182,0.085,0.05,0.0,0.0,0.0,params :: params.process_gas_coke,
