Processo;"Alloys Mix for Low Alloy Steel
(LAS)";"Alloys Mix for High Alloy Steel
(HAS)";Nitrogen;Oxigen; Limestone;Dolomite;Burnt Lime;Electricity;FLF;RLF;Gas;Wood;Coal;Charcoal;Coke;Steam;Scrap;Iron Ore ;Sinter;Pellets;Pig Iron (BF, DRI);"Liquid Steel
(EAF, BOF)"
Electricity Production;;;;;;;;-1;0,38;0,38;0,4;0,38;0,38;0,38;0,38;0,34;;;;;;
Charcoal Production;;;;;;;;;;;;2,52256158;;;-1;;;;;;;
Coke Production;;;0,02;;;;;;;;;;1,25;;-1;;;;;;;
Steam Production;;;;;;;;;;;;;;;;;;;;;;
Nitrogen from Market;;;-1;;;;;;;;;;;;;;;;;;;
Nitrogen Production;;;-1;;;;;;;;;;;;;;;;;;;
Oxigen from Market;;;;-1;;;;;;;;;;;;;;;;;;
Oxigen Production;;;;-1;;;;;;;;;;;;;;;;;;
Burnt Lime from Market;;;;;;;-1;;;;;;;;;;;;;;;
Burnt Lime Production;;;;;1,785714286;;-1;;;;;;;;;;;;;;;
Dolomite from Market;;;;;;-1;;;;;;;;;;;;;;;;
Dolomite Production;;;;;1,916666667;-1;;;;;;;;;;;;;;;;
"Alloys Mix for Low Alloy Steel
(LAS)";;;;;;;;;;;;;;;;;;;;;;
"Alloys Mix for High Alloy Steel
(HAS)";;;;;;;;;;;;;;;;;;;;;;
Scrap Purchase;;;;;;;;;;;;;;;;;-1;;;;;
Iron Ore from Market;;;;;;;;;;;;;;;;;;-1;;;;
Direct Iron ore;;;;;;;;;;;;;;;;;;;;;;
Sintering;;;0;0;0,14;0;0;;;;;;;;;;;0,909828633;-1;;;
Pelletizing;;;0;0;0,065;0;0,01;;;;;;;;;;;1,023557212;;-1;;
Blast Furnace;;;0,075;0,08;0,04;0;0;;;;;;;0,4;0,4;;;1,676305423;1,842440832;1,637725184;-1;
Direct Reduction Iron;;;0;0;0;0;0;;;;0,429;;;;;;;1,676305423;1,842440832;1,637725184;-1;
Iron Foundry;;;;;;;;;;;;;;;;;;;;;1;
Electric Arc Furnace;;;0,113;0,025;0;0,012;0,041;;;;;;;;;;;;;;1;-1
Basic Oxygen Furnace;;;0,113;0,09;0;0,005;0,045;;;;;;;;;;;;;;1;-1
Regular Steel;;;;;;;;;;;;;;;;;;;;;;
Steel Refining (Low Alloy);0,0362;;0,007;0,025;0;0,005;0,03;;;;;;;;;;;;;;;0,9638
Steel Refining (High Alloy);;0,33;0,007;0,025;0;0,005;0,03;;;;;;;;;;;;;;;0,67
Continuous Casting;;;;;;;;;;;;;;;;;;;;;;1
Ingot Casting;;;;;;;;;;;;;;;;;;;;;;1
Hot Rolling;;;;;;;;;;;;;;;;;;;;;;1
Cold Rolling;;;;;;;;;;;;;;;;;;;;;;1
Rod/bar/section Mill;;;;;;;;;;;;;;;;;;;;;;1
Steel Thermal Treatment;;;0,075;0;0;0;0;;;;;;;;;;;;;;;
